Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6571  2.7092    -9.0053 -0.5454
      1  -2.4785  1.5122    -4.8507 -0.3054
      2  -1.1819  0.9249    -2.3474 -0.1494
      3  -0.6462  0.7406    -1.3392 -0.0854
      4  -1.0117  0.6830    -1.5469 -0.6808
      5  -1.1766  0.6774    -1.7391 -0.9436
      6  -1.5479  1.0795    -3.1708 -1.0708
      7  -1.6480  1.0158    -3.2317 -1.1572
      8  -1.4538  0.7943    -2.0871 -1.1344
      9  -1.9565  1.3871    -5.3213 -1.2003
     10  -1.7347  1.0937    -3.1005 -1.2007
     11  -2.3988  1.7139    -7.1313 -1.2323
     12  -2.1501  1.3514    -5.3474 -1.3023
     13  -2.0014  1.0523    -3.4971 -1.3298
     14  -1.8553  0.8456    -2.8003 -1.3245
     15  -2.2702  1.2338    -4.7266 -1.3921
     16  -2.1515  0.9672    -3.4056 -1.4142
     17  -2.6637  1.3930    -6.0549 -1.5427
     18  -2.5187  1.1140    -4.3773 -1.6005
     19  -2.4361  0.9087    -3.8341 -1.6173

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1024  0.0585     0.0072  0.1899
      1   0.1031  0.0583     0.0079  0.1900
      2   0.1044  0.0579     0.0087  0.1902
      3   0.1067  0.0572     0.0109  0.1905
      4   0.1023  0.0580     0.0082  0.1897
      5   0.1016  0.0589     0.0069  0.1899
      6   0.0487  0.0406     0.0001  0.1284
      7   0.0480  0.0410     0.0004  0.1298
      8   0.0591  0.0426     0.0024  0.1410
      9   0.0211  0.0171     0.0000  0.0507
     10   0.0243  0.0172     0.0001  0.0536
     11   0.0110  0.0087     0.0000  0.0241
     12   0.0122  0.0083     0.0000  0.0248
     13   0.0129  0.0080     0.0001  0.0251
     14   0.0142  0.0081     0.0003  0.0262
     15   0.0093  0.0055     0.0000  0.0167
     16   0.0098  0.0052     0.0001  0.0170
     17   0.0068  0.0036     0.0000  0.0108
     18   0.0073  0.0032     0.0001  0.0111
     19   0.0076  0.0029     0.0002  0.0112

