Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.3173  2.1297    -7.1957 -0.0748
      1  -1.7534  2.2417    -7.6849 -0.4450
      2  -2.3017  2.4552    -8.1978 -0.7314
      3  -4.7142  2.5691    -8.9936 -1.1482
      4  -3.0320  1.8961    -7.4330 -0.9419
      5  -3.8120  1.7451    -7.8234 -1.6178
      6  -3.2566  1.4737    -6.6477 -1.5168
      7  -2.8892  1.3931    -6.0598 -1.3659
      8  -3.0609  1.2141    -5.4381 -1.8916
      9  -2.9677  0.9862    -4.4213 -1.9660
     10  -2.7601  0.8715    -3.8625 -1.8856
     11  -2.9140  0.7797    -3.9231 -2.2222
     12  -2.7953  0.6637    -3.6023 -2.1874
     13  -2.8597  0.5627    -3.6115 -2.4039
     14  -3.0568  0.6548    -3.8901 -2.5476
     15  -2.9901  0.5348    -3.6678 -2.5418
     16  -2.9303  0.4547    -3.5451 -2.5172
     17  -2.9678  0.3859    -3.5572 -2.6538
     18  -2.8956  0.3582    -3.4129 -2.6085
     19  -2.9329  0.3106    -3.4191 -2.6720

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0835  0.0652     0.0000  0.1875
      1   0.0772  0.0654     0.0000  0.1863
      2   0.0677  0.0652     0.0000  0.1845
      3   0.0107  0.0096     0.0000  0.0255
      4   0.0126  0.0117     0.0000  0.0320
      5   0.0096  0.0077     0.0000  0.0206
      6   0.0109  0.0083     0.0000  0.0234
      7   0.0117  0.0086     0.0000  0.0248
      8   0.0127  0.0090     0.0000  0.0264
      9   0.0134  0.0087     0.0001  0.0267
     10   0.0147  0.0092     0.0002  0.0286
     11   0.0155  0.0095     0.0003  0.0304
     12   0.0169  0.0099     0.0007  0.0324
     13   0.0182  0.0102     0.0011  0.0339
     14   0.0153  0.0086     0.0006  0.0277
     15   0.0164  0.0087     0.0010  0.0294
     16   0.0175  0.0089     0.0014  0.0310
     17   0.0186  0.0090     0.0019  0.0323
     18   0.0191  0.0090     0.0022  0.0327
     19   0.0202  0.0092     0.0028  0.0338

