Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.0111  1.5292    -7.8309 -5.0865
      1  -5.8533  1.0929    -7.0980 -4.4863
      2  -5.2370  1.0516    -6.1508 -3.0997
      3  -5.6260  0.7054    -6.2864 -5.3176
      4  -5.4500  0.7089    -5.9901 -5.1060
      5  -4.9978  1.3368    -6.2954 -1.8528
      6  -3.9857  2.0544    -7.9108 -0.5615
      7  -4.5155  1.6262    -7.5841 -1.3766
      8  -4.5157  1.3991    -6.5154 -1.8394
      9  -4.7976  1.0910    -6.1788 -3.1396
     10  -4.3362  1.4462    -7.2050 -1.8013
     11  -4.3143  1.2113    -6.0463 -2.4044
     12  -4.3010  1.0387    -5.7010 -2.7504
     13  -4.4940  0.8507    -5.6979 -3.4432
     14  -4.6246  0.7261    -5.7128 -3.7972
     15  -4.8180  0.7027    -5.8584 -4.0670
     16  -5.0697  0.8827    -6.2773 -4.1977
     17  -5.0830  0.7346    -6.1849 -4.2999
     18  -5.0029  0.6389    -5.9714 -4.2890
     19  -5.0809  0.5670    -5.9969 -4.4819

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0986  0.0602     0.0026  0.1895
      1   0.0961  0.0610     0.0016  0.1891
      2   0.0932  0.0619     0.0010  0.1887
      3   0.1002  0.0602     0.0021  0.1898
      4   0.1013  0.0600     0.0019  0.1900
      5   0.0402  0.0388     0.0000  0.1153
      6   0.0076  0.0081     0.0000  0.0202
      7   0.0096  0.0093     0.0000  0.0248
      8   0.0110  0.0092     0.0000  0.0258
      9   0.0130  0.0098     0.0000  0.0283
     10   0.0076  0.0056     0.0000  0.0139
     11   0.0084  0.0053     0.0000  0.0147
     12   0.0090  0.0050     0.0001  0.0152
     13   0.0098  0.0052     0.0001  0.0170
     14   0.0105  0.0054     0.0003  0.0182
     15   0.0104  0.0054     0.0003  0.0181
     16   0.0083  0.0042     0.0001  0.0132
     17   0.0086  0.0040     0.0002  0.0133
     18   0.0091  0.0042     0.0003  0.0136
     19   0.0096  0.0043     0.0004  0.0139

