Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0855  1.6500    -5.4511 -0.0889
      1  -1.5164  1.6645    -6.1697 -0.6585
      2  -1.7281  1.6938    -6.5190 -0.9527
      3  -2.3265  2.0729    -7.8004 -1.1098
      4  -1.6350  1.2908    -4.4396 -1.1032
      5  -1.8641  1.8799    -7.1586 -0.8498
      6  -1.5513  1.4596    -5.3224 -0.8696
      7  -1.7923  1.6034    -6.2628 -1.0179
      8  -1.5443  1.2417    -3.8484 -1.0563
      9  -1.5490  1.1029    -2.7921 -1.1097
     10  -1.4268  0.8446    -1.8410 -1.1113
     11  -1.4089  0.6801    -1.8015 -1.1902
     12  -1.3575  0.5127    -1.6413 -1.1885
     13  -1.5202  0.9159    -2.0619 -1.2513
     14  -1.9638  1.5365    -6.2444 -1.2226
     15  -1.7551  1.1682    -3.6040 -1.2596
     16  -1.6232  0.8969    -2.2712 -1.2772
     17  -1.5434  0.6809    -2.0486 -1.2902
     18  -1.4903  0.5351    -1.9188 -1.2894
     19  -1.5535  0.5403    -2.0052 -1.3389

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0912  0.0633     0.0000  0.1885
      1   0.0866  0.0638     0.0000  0.1875
      2   0.0862  0.0642     0.0000  0.1876
      3   0.0631  0.0610     0.0000  0.1784
      4   0.0815  0.0599     0.0001  0.1836
      5   0.0417  0.0406     0.0000  0.1198
      6   0.0464  0.0402     0.0000  0.1232
      7   0.0352  0.0321     0.0000  0.0944
      8   0.0402  0.0319     0.0001  0.0984
      9   0.0443  0.0337     0.0001  0.1060
     10   0.0492  0.0334     0.0017  0.1099
     11   0.0542  0.0341     0.0051  0.1159
     12   0.0584  0.0337     0.0095  0.1193
     13   0.0350  0.0218     0.0004  0.0719
     14   0.0179  0.0131     0.0000  0.0385
     15   0.0193  0.0126     0.0001  0.0391
     16   0.0210  0.0123     0.0003  0.0401
     17   0.0224  0.0120     0.0015  0.0408
     18   0.0239  0.0119     0.0027  0.0420
     19   0.0234  0.0115     0.0026  0.0407

