Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5232  2.7642    -8.9893 -0.4077
      1  -4.4651  2.7858    -8.9820 -0.3638
      2  -4.3590  2.8215    -8.9681 -0.3006
      3  -4.1813  2.8709    -8.9428 -0.2341
      4  -3.9262  2.9207    -8.9014 -0.1818
      5  -3.6032  2.9503    -8.8387 -0.1432
      6  -3.2709  2.9422    -8.7574 -0.1188
      7  -2.1777  2.5265    -8.0899 -0.0843
      8  -1.7132  2.1817    -7.2013 -0.0744
      9  -1.3848  1.8362    -5.7461 -0.0688
     10  -0.9177  1.4234    -3.6138 -0.0575
     11  -0.6448  1.1682    -2.2466 -0.0485
     12  -0.5526  0.9244    -1.8719 -0.0477
     13  -0.4077  0.7665    -1.4089 -0.0416
     14  -0.3312  0.6164    -1.1984 -0.0391
     15  -0.5219  0.8142    -1.5464 -0.0535
     16  -0.6108  0.8013    -1.6699 -0.0683
     17  -0.8209  0.9060    -1.9751 -0.1110
     18  -1.0901  1.0358    -2.3669 -0.2155
     19  -1.3074  1.0602    -2.6550 -0.3695

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0003  0.0013     0.0000  0.0001
      1   0.0005  0.0018     0.0000  0.0014
      2   0.0009  0.0024     0.0000  0.0041
      3   0.0015  0.0030     0.0000  0.0055
      4   0.0024  0.0035     0.0000  0.0062
      5   0.0035  0.0038     0.0000  0.0066
      6   0.0046  0.0038     0.0000  0.0068
      7   0.0053  0.0038     0.0000  0.0073
      8   0.0062  0.0034     0.0000  0.0084
      9   0.0068  0.0030     0.0000  0.0090
     10   0.0072  0.0030     0.0001  0.0103
     11   0.0075  0.0031     0.0001  0.0113
     12   0.0077  0.0029     0.0003  0.0114
     13   0.0080  0.0031     0.0004  0.0121
     14   0.0083  0.0032     0.0004  0.0125
     15   0.0074  0.0022     0.0003  0.0092
     16   0.0074  0.0022     0.0003  0.0093
     17   0.0072  0.0020     0.0003  0.0072
     18   0.0070  0.0019     0.0002  0.0069
     19   0.0069  0.0020     0.0001  0.0069

