Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.7840  1.3097    -4.8325 -6.2819
      1  -7.0521  1.1233    -8.1682 -5.6159
      2  -6.7002  1.0587    -7.5604 -5.1890
      3  -6.5185  1.0110    -7.2826 -5.0366
      4  -6.1609  1.1687    -7.0767 -3.8784
      5  -5.6684  1.3709    -6.8850 -2.5512
      6  -4.9959  1.5976    -6.8435 -1.4683
      7  -4.0547  1.9456    -7.6050 -0.6672
      8  -4.0032  1.7873    -6.6436 -0.7315
      9  -2.9676  2.0774    -7.4136 -0.3126
     10  -2.7521  1.8764    -6.2012 -0.2990
     11  -2.0093  1.7736    -5.8645 -0.1840
     12  -1.8260  1.5381    -4.7293 -0.1762
     13  -2.5194  1.4918    -5.2285 -0.5491
     14  -3.0622  1.3677    -5.4786 -1.2513
     15  -2.6549  1.2751    -4.8183 -1.0321
     16  -2.5777  1.1113    -4.3833 -1.0727
     17  -2.9018  1.0083    -4.6008 -1.6613
     18  -2.6124  0.9436    -4.0169 -1.4542
     19  -2.3537  0.9435    -3.6180 -1.1976

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0993  0.0606     0.0001  0.1897
      1   0.0948  0.0620     0.0001  0.1890
      2   0.0927  0.0628     0.0001  0.1889
      3   0.0885  0.0624     0.0001  0.1878
      4   0.0581  0.0528     0.0001  0.1644
      5   0.0259  0.0268     0.0000  0.0772
      6   0.0112  0.0099     0.0000  0.0271
      7   0.0057  0.0042     0.0000  0.0104
      8   0.0066  0.0039     0.0000  0.0110
      9   0.0053  0.0032     0.0000  0.0067
     10   0.0060  0.0027     0.0000  0.0067
     11   0.0061  0.0026     0.0000  0.0067
     12   0.0065  0.0021     0.0001  0.0067
     13   0.0064  0.0022     0.0001  0.0067
     14   0.0064  0.0023     0.0000  0.0067
     15   0.0065  0.0022     0.0001  0.0067
     16   0.0068  0.0018     0.0001  0.0068
     17   0.0068  0.0018     0.0001  0.0068
     18   0.0069  0.0018     0.0002  0.0068
     19   0.0068  0.0018     0.0001  0.0068

