Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2790  1.3709    -3.4128 -0.1279
      1  -1.7770  1.2087    -3.7907 -1.0726
      2  -1.4412  1.1838    -3.1316 -0.8956
      3  -1.2873  1.1820    -2.7968 -0.7793
      4  -1.5347  1.9546    -7.0360 -0.2828
      5  -1.9787  2.5843    -8.1589 -0.1128
      6  -1.4038  2.1612    -7.3269 -0.0979
      7  -1.0068  1.7041    -5.6803 -0.0898
      8  -0.7650  1.2963    -2.6016 -0.0856
      9  -0.6483  1.3526    -2.9692 -0.0577
     10  -0.5006  1.0110    -1.2415 -0.0561
     11  -0.4082  0.7856    -1.0214 -0.0534
     12  -0.3172  0.7704    -0.8652 -0.0415
     13  -0.2617  0.5974    -0.7747 -0.0400
     14  -0.2232  0.4712    -0.7405 -0.0384
     15  -0.1612  0.5140    -0.6274 -0.0306
     16  -0.1341  0.3985    -0.5471 -0.0299
     17  -0.1146  0.3141    -0.5242 -0.0292
     18  -0.1000  0.2515    -0.5126 -0.0285
     19  -0.1706  0.4307    -0.6464 -0.0333

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0959  0.0616     0.0001  0.1892
      1   0.0954  0.0618     0.0001  0.1891
      2   0.0956  0.0620     0.0001  0.1893
      3   0.0952  0.0621     0.0001  0.1892
      4   0.0347  0.0361     0.0000  0.1057
      5   0.0118  0.0134     0.0000  0.0343
      6   0.0144  0.0135     0.0000  0.0370
      7   0.0163  0.0133     0.0000  0.0385
      8   0.0174  0.0130     0.0001  0.0393
      9   0.0155  0.0109     0.0001  0.0330
     10   0.0162  0.0107     0.0003  0.0333
     11   0.0173  0.0107     0.0008  0.0343
     12   0.0167  0.0099     0.0008  0.0324
     13   0.0177  0.0100     0.0013  0.0333
     14   0.0187  0.0101     0.0017  0.0343
     15   0.0169  0.0086     0.0014  0.0300
     16   0.0177  0.0087     0.0018  0.0309
     17   0.0185  0.0087     0.0023  0.0319
     18   0.0193  0.0088     0.0029  0.0327
     19   0.0147  0.0067     0.0012  0.0242

