trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  691 390.00  0.00 800.00  8.60  0
  1  652 370.00  0.00 800.00  3.00  1
  2  707 400.00  0.00 800.00  4.30  0
  3  742 420.00  0.00 800.00  3.00  0
  4  777 440.00  0.00 800.00  2.00  0
  5  633 360.00  0.00 800.00  2.00  0
  6 1416 790.00  0.00 800.00 26.00  0
  7 1417 790.00  0.00 800.00 52.00  0
  8 1417 770.00  0.00 800.00 26.00  0
  9  615 350.00  0.00 800.00  2.00  0
 10 1417 790.00  0.00 800.00 104.00  0
 11  885 500.00  0.00 800.00  2.00  0
 12  579 330.00  0.00 800.00  2.00  0
 13  813 460.00  0.00 800.00  2.00  0
 14  759 430.00  0.00 800.00  2.00  0
 15  722 410.00  0.00 800.00  1.00  0
 16 1010 570.00  0.00 800.00  1.00  0
 17  974 550.00  0.00 800.00  1.00  0
 18  956 540.00  0.00 800.00  1.00  0
 19  938 530.00  0.00 800.00  1.00  1
