  0 1279 720.00  0.00 800.00  0.71  1
  1  664 370.00  0.00 800.00 260.00  0
  2  822 460.00  0.00 800.00 26.00  1
  3  698 390.00  0.00 800.00 104.00  1
  4  735 410.00  0.00 800.00 156.00  0
  5  645 360.00  0.00 800.00 156.00  0
  6  698 390.00  0.00 800.00 104.00  1
  7  663 370.00  0.00 800.00 156.00  0
  8  698 370.00  0.00 800.00 156.00  0
  9  698 370.00  0.00 800.00 52.00  1
 10  698 390.00  0.00 800.00 156.00  0
 11  698 370.00  0.00 800.00 52.00  1
 12  698 380.00  0.00 800.00 52.00  1
 13  698 400.00  0.00 800.00 156.00  0
 14  698 400.00  0.00 800.00 156.00  0
 15  698 410.00  0.00 800.00 52.00  1
 16  698 400.00  0.00 800.00 52.00  1
 17  698 390.00  0.00 800.00 52.00  1
 18  698 370.00  0.00 800.00 52.00  1
 19  698 400.00  0.00 800.00 156.00  0
