Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.7110  2.8331    -8.5590 -0.0957
      1  -2.0531  2.5545    -8.1150 -0.0769
      2  -1.5131  2.1605    -7.2425 -0.0665
      3  -2.1475  2.1749    -7.6921 -0.3272
      4  -1.7691  1.8024    -6.4404 -0.3166
      5  -2.5635  1.9241    -7.4483 -0.6780
      6  -2.2984  1.6144    -6.1288 -0.7047
      7  -1.9270  1.3748    -4.6784 -0.6257
      8  -2.4435  1.5040    -6.1273 -1.0223
      9  -2.2828  1.2269    -4.4501 -1.0716
     10  -2.1889  1.0218    -3.7975 -1.0906
     11  -1.9705  0.8786    -3.1469 -0.9856
     12  -2.1181  0.7817    -3.2357 -1.3323
     13  -1.9929  0.6675    -2.8937 -1.2670
     14  -2.0594  0.5744    -2.9144 -1.4589
     15  -1.9764  0.4979    -2.7410 -1.4194
     16  -2.0380  0.4350    -2.7737 -1.6029
     17  -1.9755  0.3826    -2.6153 -1.5881
     18  -1.8379  0.4187    -2.5126 -1.3815
     19  -1.8763  0.3633    -2.5259 -1.5046

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0176  0.0309     0.0000  0.0816
      1   0.0237  0.0338     0.0000  0.0937
      2   0.0287  0.0352     0.0000  0.1015
      3   0.0138  0.0162     0.0000  0.0429
      4   0.0160  0.0165     0.0000  0.0456
      5   0.0087  0.0079     0.0000  0.0203
      6   0.0098  0.0077     0.0000  0.0212
      7   0.0113  0.0083     0.0000  0.0245
      8   0.0088  0.0063     0.0000  0.0181
      9   0.0095  0.0061     0.0001  0.0185
     10   0.0099  0.0059     0.0002  0.0187
     11   0.0107  0.0063     0.0003  0.0200
     12   0.0115  0.0068     0.0004  0.0213
     13   0.0124  0.0072     0.0006  0.0234
     14   0.0133  0.0075     0.0007  0.0249
     15   0.0143  0.0078     0.0009  0.0261
     16   0.0153  0.0081     0.0011  0.0271
     17   0.0163  0.0083     0.0013  0.0283
     18   0.0145  0.0074     0.0010  0.0256
     19   0.0154  0.0076     0.0013  0.0264

