Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6112  2.7303    -9.0002 -0.4842
      1  -2.4262  1.5258    -4.8236 -0.2620
      2  -3.5838  0.9175    -4.9394 -2.4551
      3  -4.2455  0.6457    -5.0028 -3.7031
      4  -4.5343  0.5720    -5.1915 -4.2194
      5  -4.8536  0.6903    -5.9681 -4.5291
      6  -5.5322  1.2952    -8.5482 -4.5659
      7  -6.4916  1.5489    -9.1144 -4.7242
      8  -7.2862  1.5163    -6.7381 -5.1028
      9  -7.7171  1.3699    -4.8316 -5.8875
     10  -7.8191  1.1731    -4.7195 -6.2715
     11  -7.3301  1.2589    -9.2084 -5.8154
     12  -6.9434  1.1861    -8.9277 -5.5925
     13  -7.1855  1.1316    -9.0540 -6.0028
     14  -6.9657  1.0027    -8.7204 -5.9416
     15  -7.3115  1.1630    -9.0762 -6.1448
     16  -7.5821  1.3256    -8.1797 -6.0375
     17  -7.6940  1.0994    -8.0352 -6.5890
     18  -7.7546  0.9499    -7.9601 -6.6839
     19  -7.9625  0.9166    -5.8091 -6.9278

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1018  0.0587     0.0069  0.1899
      2   0.1018  0.0588     0.0067  0.1899
      3   0.1019  0.0589     0.0064  0.1899
      4   0.1029  0.0588     0.0067  0.1901
      5   0.0950  0.0611     0.0034  0.1891
      6   0.0291  0.0302     0.0001  0.0891
      7   0.0105  0.0076     0.0001  0.0221
      8   0.0081  0.0043     0.0001  0.0131
      9   0.0081  0.0040     0.0001  0.0129
     10   0.0083  0.0038     0.0002  0.0129
     11   0.0080  0.0038     0.0001  0.0127
     12   0.0083  0.0041     0.0001  0.0132
     13   0.0085  0.0042     0.0001  0.0134
     14   0.0091  0.0046     0.0002  0.0142
     15   0.0078  0.0035     0.0001  0.0123
     16   0.0070  0.0029     0.0001  0.0098
     17   0.0073  0.0026     0.0001  0.0100
     18   0.0075  0.0024     0.0003  0.0101
     19   0.0074  0.0022     0.0003  0.0095

