Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.5314  2.2116    -9.0932 -2.2325
      1  -3.6178  1.1718    -5.4317 -2.0236
      2  -4.4973  0.7396    -5.5120 -3.7226
      3  -4.0825  0.5515    -4.7360 -3.6610
      4  -3.8192  0.4872    -4.3619 -3.4922
      5  -3.6549  0.4887    -4.1010 -3.3093
      6  -3.7084  0.3443    -4.0991 -3.6712
      7  -3.6847  0.2611    -3.9468 -3.6830
      8  -3.6899  0.1865    -3.9462 -3.6944
      9  -3.6914  0.1381    -3.9458 -3.6969
     10  -3.6861  0.1021    -3.9415 -3.6969
     11  -3.6208  0.2774    -3.9401 -3.4603
     12  -3.6742  0.2263    -3.9432 -3.5654
     13  -3.6873  0.1706    -3.9433 -3.6943
     14  -3.6883  0.1268    -3.9429 -3.6967
     15  -3.6894  0.0954    -3.9426 -3.6988
     16  -3.6883  0.0735    -3.9420 -3.6988
     17  -3.6876  0.0591    -3.9415 -3.6989
     18  -3.6882  0.0491    -3.9414 -3.6997
     19  -3.6877  0.0425    -3.9410 -3.6997

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1015  0.0590     0.0061  0.1898
      1   0.1014  0.0590     0.0059  0.1898
      2   0.1014  0.0589     0.0060  0.1898
      3   0.1027  0.0585     0.0074  0.1900
      4   0.1017  0.0585     0.0072  0.1898
      5   0.1010  0.0596     0.0059  0.1900
      6   0.1128  0.0561     0.0140  0.1916
      7   0.1207  0.0531     0.0218  0.1925
      8   0.1234  0.0511     0.0292  0.1927
      9   0.1251  0.0499     0.0338  0.1929
     10   0.1290  0.0477     0.0409  0.1933
     11   0.0718  0.0397     0.0142  0.1451
     12   0.0789  0.0410     0.0174  0.1540
     13   0.0843  0.0406     0.0223  0.1578
     14   0.0857  0.0400     0.0250  0.1584
     15   0.0871  0.0395     0.0278  0.1591
     16   0.0875  0.0393     0.0287  0.1593
     17   0.0879  0.0391     0.0295  0.1595
     18   0.0885  0.0388     0.0306  0.1598
     19   0.0890  0.0386     0.0316  0.1600

