Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.6658  2.1450    -9.1077 -2.4649
      1  -3.8679  1.1759    -5.6823 -2.2371
      2  -2.9406  0.7780    -3.9230 -2.0775
      3  -2.5236  0.6516    -3.1603 -1.8876
      4  -2.2255  0.6329    -2.7731 -1.6205
      5  -2.0206  0.6556    -2.5342 -1.3263
      6  -1.7479  0.8435    -2.3611 -0.8064
      7  -1.4626  0.9993    -2.2664 -0.4515
      8  -1.1794  1.1930    -2.3531 -0.2297
      9  -0.9868  1.3905    -3.6935 -0.1166
     10  -0.8336  1.0642    -1.8090 -0.1132
     11  -0.6853  1.1843    -1.8021 -0.0698
     12  -0.5759  0.8977    -1.4326 -0.0684
     13  -0.6549  0.8482    -1.4973 -0.0983
     14  -0.5564  0.7281    -1.2924 -0.0844
     15  -0.5956  0.6406    -1.3055 -0.1158
     16  -0.6286  0.5550    -1.3146 -0.1638
     17  -0.5688  0.4731    -1.2341 -0.1459
     18  -0.6105  0.4192    -1.2551 -0.2237
     19  -0.6502  0.3736    -1.2726 -0.2978

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1037  0.0581     0.0076  0.1901
      1   0.1034  0.0583     0.0069  0.1901
      2   0.1033  0.0587     0.0063  0.1902
      3   0.1029  0.0589     0.0064  0.1902
      4   0.0985  0.0600     0.0050  0.1896
      5   0.0896  0.0606     0.0037  0.1878
      6   0.0494  0.0433     0.0010  0.1387
      7   0.0259  0.0221     0.0002  0.0665
      8   0.0152  0.0108     0.0001  0.0328
      9   0.0113  0.0072     0.0001  0.0211
     10   0.0118  0.0070     0.0001  0.0215
     11   0.0102  0.0057     0.0001  0.0183
     12   0.0106  0.0055     0.0003  0.0184
     13   0.0110  0.0058     0.0004  0.0192
     14   0.0115  0.0060     0.0005  0.0198
     15   0.0123  0.0063     0.0007  0.0206
     16   0.0131  0.0066     0.0008  0.0221
     17   0.0138  0.0068     0.0010  0.0235
     18   0.0146  0.0070     0.0012  0.0249
     19   0.0154  0.0072     0.0014  0.0258

