Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0365  1.6111    -5.1733 -0.0845
      1  -1.4628  1.5996    -5.8162 -0.6507
      2  -1.2691  1.6059    -5.6920 -0.5620
      3  -1.1401  1.3061    -3.6891 -0.8002
      4  -3.1801  2.6590    -8.6383 -0.5825
      5  -2.6162  2.4030    -8.2666 -0.6037
      6  -2.1333  2.0424    -7.5410 -0.6214
      7  -1.7833  1.6531    -6.1552 -0.6334
      8  -2.7467  2.0837    -7.9019 -0.7920
      9  -2.4198  1.7580    -6.8975 -0.8315
     10  -2.1986  1.4602    -5.4518 -0.8543
     11  -1.8902  1.2070    -3.8476 -0.8128
     12  -2.4414  1.4349    -5.7591 -1.1146
     13  -2.3016  1.1808    -4.3726 -1.1461
     14  -2.2202  0.9976    -3.8550 -1.1636
     15  -2.6326  1.0920    -4.6211 -1.4960
     16  -3.1168  1.2273    -5.5563 -1.8225
     17  -2.8263  1.0336    -4.5129 -1.7430
     18  -2.7759  0.8921    -4.2515 -1.7772
     19  -2.5545  0.7942    -3.7458 -1.6626

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0927  0.0633     0.0000  0.1889
      1   0.0869  0.0644     0.0000  0.1879
      2   0.0899  0.0638     0.0000  0.1882
      3   0.1034  0.0615     0.0001  0.1906
      4   0.0085  0.0140     0.0000  0.0345
      5   0.0117  0.0153     0.0000  0.0398
      6   0.0145  0.0158     0.0000  0.0430
      7   0.0165  0.0159     0.0000  0.0452
      8   0.0064  0.0057     0.0000  0.0135
      9   0.0075  0.0054     0.0000  0.0139
     10   0.0083  0.0051     0.0000  0.0148
     11   0.0092  0.0054     0.0001  0.0169
     12   0.0070  0.0037     0.0000  0.0115
     13   0.0075  0.0034     0.0001  0.0117
     14   0.0078  0.0031     0.0002  0.0118
     15   0.0071  0.0025     0.0001  0.0090
     16   0.0066  0.0022     0.0001  0.0068
     17   0.0068  0.0022     0.0001  0.0069
     18   0.0070  0.0018     0.0002  0.0069
     19   0.0071  0.0019     0.0003  0.0070

