Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.0525  1.4509    -4.0789 -0.2179
      1  -3.0853  1.0348    -4.3996 -2.1496
      2  -2.5784  0.7941    -3.2994 -2.0675
      3  -2.3039  0.7588    -2.8474 -1.8774
      4  -2.4699  0.7186    -2.9231 -2.1969
      5  -2.8302  1.2035    -5.6554 -2.1719
      6  -2.9040  1.1288    -5.3215 -2.3917
      7  -2.7612  0.8793    -3.4732 -2.4071
      8  -2.8054  1.2919    -6.1597 -2.0573
      9  -2.6677  0.9783    -3.7183 -2.1726
     10  -2.7579  0.9675    -3.8640 -2.3578
     11  -2.6696  0.7384    -3.1382 -2.3841
     12  -2.6286  0.9560    -3.4462 -2.1515
     13  -2.5772  0.7301    -3.0784 -2.2835
     14  -2.6774  0.7872    -3.1968 -2.3817
     15  -2.6436  0.6046    -3.1078 -2.3995
     16  -2.6623  0.5184    -3.1043 -2.4310
     17  -2.6289  0.3944    -2.9996 -2.4317
     18  -2.6026  0.3275    -2.8973 -2.4238
     19  -2.5762  0.2946    -2.8905 -2.4115

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0985  0.0602     0.0021  0.1894
      1   0.0972  0.0607     0.0015  0.1893
      2   0.0999  0.0601     0.0024  0.1897
      3   0.0994  0.0603     0.0023  0.1897
      4   0.1013  0.0596     0.0027  0.1899
      5   0.0466  0.0405     0.0000  0.1243
      6   0.0485  0.0415     0.0000  0.1291
      7   0.0567  0.0419     0.0001  0.1364
      8   0.0324  0.0267     0.0000  0.0793
      9   0.0349  0.0261     0.0001  0.0807
     10   0.0340  0.0249     0.0001  0.0771
     11   0.0374  0.0245     0.0005  0.0796
     12   0.0286  0.0201     0.0001  0.0623
     13   0.0309  0.0196     0.0006  0.0641
     14   0.0280  0.0175     0.0001  0.0569
     15   0.0299  0.0172     0.0020  0.0583
     16   0.0319  0.0176     0.0032  0.0608
     17   0.0338  0.0173     0.0062  0.0619
     18   0.0360  0.0175     0.0079  0.0648
     19   0.0371  0.0177     0.0087  0.0664

