trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1001 560.00  0.00 800.00 21.50  0
  1  655 370.00  0.00 800.00  8.60  1
  2  695 390.00  0.00 800.00 21.50  0
  3  693 390.00  0.00 800.00 12.90  0
  4  745 420.00  0.00 800.00  8.60  1
  5  764 430.00  0.00 800.00 10.80  1
  6  693 390.00  0.00 800.00 12.90  1
  7  748 420.00  0.00 800.00 17.20  0
  8  675 380.00  0.00 800.00 12.90  0
  9 1419 790.00  0.00 800.00 156.00  0
 10  693 390.00  0.00 800.00 12.90  1
 11  820 460.00  0.00 800.00 17.20  0
 12  728 410.00  0.00 800.00 10.80  0
 13  547 310.00  0.00 800.00  8.60  1
 14  711 400.00  0.00 800.00 12.90  1
 15  548 310.00  0.00 800.00 10.80  1
 16  657 370.00  0.00 800.00 12.90  1
 17  802 450.00  0.00 800.00 17.20  0
 18  657 390.00  0.00 800.00 17.20  0
 19  657 370.00  0.00 800.00 17.20  0
