Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6422  2.7153    -9.0036 -0.5305
      1  -2.3283  1.4493    -4.5840 -0.2834
      2  -3.4513  0.8647    -4.6922 -2.4328
      3  -2.7997  0.6217    -3.5081 -2.3187
      4  -2.5134  0.5679    -3.0412 -2.1499
      5  -2.6860  0.5257    -3.1409 -2.4576
      6  -2.6013  0.9683    -3.6175 -1.9236
      7  -2.7099  0.9099    -3.6604 -2.2749
      8  -2.8148  1.5280    -7.0031 -1.4855
      9  -2.6261  1.1914    -5.0869 -1.6549
     10  -2.5808  0.9383    -3.6361 -1.9866
     11  -2.4837  0.7391    -3.1053 -2.0193
     12  -2.4875  1.3473    -5.8242 -1.3455
     13  -2.3424  1.0464    -3.4654 -1.4075
     14  -2.2615  0.8208    -3.0849 -1.4442
     15  -2.3091  0.6674    -3.0445 -1.7180
     16  -2.3382  0.5466    -3.0220 -1.8927
     17  -2.2353  0.8622    -3.0929 -1.5650
     18  -2.2378  0.7066    -3.0133 -1.6771
     19  -2.2406  0.5806    -2.9690 -1.7819

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1022  0.0586     0.0071  0.1899
      1   0.1028  0.0585     0.0075  0.1900
      2   0.1016  0.0588     0.0066  0.1898
      3   0.1009  0.0589     0.0063  0.1897
      4   0.1007  0.0591     0.0060  0.1897
      5   0.1025  0.0587     0.0068  0.1900
      6   0.0492  0.0410     0.0001  0.1281
      7   0.0488  0.0383     0.0001  0.1205
      8   0.0214  0.0220     0.0000  0.0623
      9   0.0237  0.0220     0.0000  0.0646
     10   0.0269  0.0224     0.0001  0.0679
     11   0.0302  0.0228     0.0006  0.0715
     12   0.0123  0.0094     0.0000  0.0269
     13   0.0132  0.0091     0.0001  0.0272
     14   0.0137  0.0089     0.0003  0.0274
     15   0.0152  0.0093     0.0006  0.0297
     16   0.0165  0.0095     0.0009  0.0315
     17   0.0109  0.0060     0.0001  0.0194
     18   0.0116  0.0061     0.0004  0.0199
     19   0.0123  0.0062     0.0006  0.0203

