Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6109  2.7304    -9.0001 -0.4839
      1  -2.2997  1.4597    -4.5800 -0.2490
      2  -1.1471  0.9222    -2.3414 -0.1306
      3  -1.7926  0.7002    -2.5165 -1.3293
      4  -2.0703  0.6436    -2.6881 -1.7379
      5  -1.8914  0.5946    -2.3159 -1.6293
      6  -1.8387  0.4493    -2.1079 -1.6283
      7  -1.8189  0.3389    -2.1019 -1.6334
      8  -1.8244  0.2472    -2.1014 -1.6735
      9  -1.8293  0.1839    -2.1013 -1.7102
     10  -1.8059  1.1569    -3.5237 -1.1596
     11  -1.7230  0.8907    -2.3466 -1.3115
     12  -1.6330  0.7413    -2.0986 -1.2831
     13  -1.6501  0.6163    -2.0931 -1.3652
     14  -1.6076  0.4731    -2.0562 -1.3660
     15  -1.6846  0.5230    -2.0953 -1.4490
     16  -1.7980  0.6533    -2.2313 -1.5703
     17  -1.8549  0.6368    -2.2914 -1.6080
     18  -1.8637  0.5358    -2.2797 -1.6336
     19  -1.8644  0.4340    -2.2632 -1.6624

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1018  0.0587     0.0069  0.1899
      2   0.1019  0.0586     0.0073  0.1898
      3   0.1009  0.0591     0.0058  0.1897
      4   0.1002  0.0592     0.0054  0.1896
      5   0.1024  0.0588     0.0064  0.1900
      6   0.1111  0.0565     0.0126  0.1913
      7   0.1156  0.0545     0.0185  0.1918
      8   0.1185  0.0526     0.0252  0.1920
      9   0.1212  0.0509     0.0309  0.1923
     10   0.0236  0.0165     0.0001  0.0509
     11   0.0255  0.0161     0.0003  0.0522
     12   0.0278  0.0165     0.0015  0.0548
     13   0.0302  0.0168     0.0030  0.0579
     14   0.0320  0.0166     0.0052  0.0593
     15   0.0300  0.0156     0.0042  0.0549
     16   0.0262  0.0142     0.0021  0.0483
     17   0.0271  0.0150     0.0022  0.0513
     18   0.0291  0.0154     0.0034  0.0541
     19   0.0311  0.0157     0.0051  0.0562

