Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5671  2.7471    -8.9947 -0.4454
      1  -4.5417  2.7569    -8.9915 -0.4237
      2  -4.4927  2.7746    -8.9853 -0.3872
      3  -4.4086  2.8025    -8.9742 -0.3357
      4  -4.2886  2.8370    -8.9573 -0.2796
      5  -4.1369  2.8720    -8.9340 -0.2354
      6  -3.9812  2.8986    -8.9077 -0.2045
      7  -2.7270  2.5544    -8.2899 -0.1311
      8  -2.3010  2.2945    -7.6120 -0.1143
      9  -1.5919  1.9659    -6.6031 -0.0845
     10  -1.3242  1.6346    -4.8080 -0.0793
     11  -2.1717  1.8194    -6.3600 -0.2178
     12  -1.9866  1.5851    -5.0714 -0.2090
     13  -2.6904  1.5417    -5.8057 -0.7083
     14  -2.1715  1.3942    -4.6413 -0.4787
     15  -2.0682  1.2056    -3.9697 -0.4781
     16  -2.4343  1.1081    -4.2380 -1.0780
     17  -2.1067  1.0280    -3.5677 -0.8308
     18  -1.8461  0.9927    -3.1281 -0.6087
     19  -2.0834  0.9194    -3.2921 -1.0666

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0003  0.0013     0.0000  0.0001
      1   0.0005  0.0017     0.0000  0.0013
      2   0.0009  0.0022     0.0000  0.0039
      3   0.0014  0.0028     0.0000  0.0053
      4   0.0023  0.0033     0.0000  0.0060
      5   0.0033  0.0036     0.0000  0.0064
      6   0.0045  0.0036     0.0000  0.0066
      7   0.0048  0.0036     0.0000  0.0067
      8   0.0057  0.0032     0.0000  0.0068
      9   0.0062  0.0030     0.0000  0.0069
     10   0.0067  0.0026     0.0001  0.0069
     11   0.0061  0.0026     0.0000  0.0067
     12   0.0066  0.0021     0.0001  0.0067
     13   0.0065  0.0022     0.0001  0.0067
     14   0.0065  0.0022     0.0001  0.0067
     15   0.0068  0.0017     0.0001  0.0067
     16   0.0068  0.0018     0.0001  0.0068
     17   0.0069  0.0018     0.0002  0.0068
     18   0.0069  0.0017     0.0002  0.0068
     19   0.0069  0.0018     0.0002  0.0068

