Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.1301  2.8846    -8.9355 -0.2210
      1  -3.7581  2.9304    -8.8603 -0.1596
      2  -3.2370  2.9245    -8.7221 -0.1153
      3  -2.6121  2.8002    -8.4607 -0.0872
      4  -1.9817  2.5227    -7.9606 -0.0708
      5  -1.4770  2.1510    -7.0324 -0.0618
      6  -1.1225  1.7669    -5.5909 -0.0569
      7  -2.2752  2.1889    -7.3706 -0.1868
      8  -1.9793  1.9262    -6.3655 -0.1734
      9  -1.4424  1.5429    -4.8031 -0.1386
     10  -1.2847  1.2844    -3.5960 -0.1338
     11  -1.8491  1.4001    -4.6059 -0.3453
     12  -1.4678  1.2037    -3.3243 -0.2614
     13  -1.8163  1.2058    -3.8054 -0.5543
     14  -1.5619  1.0673    -2.9849 -0.4422
     15  -1.3178  1.0958    -2.6151 -0.2952
     16  -1.2395  0.8942    -2.3855 -0.2937
     17  -1.4146  0.8426    -2.5295 -0.5162
     18  -1.6086  0.8250    -2.6935 -0.7786
     19  -1.8082  0.8336    -2.8975 -1.0269

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0015  0.0046     0.0000  0.0064
      1   0.0025  0.0058     0.0000  0.0110
      2   0.0040  0.0070     0.0000  0.0143
      3   0.0058  0.0079     0.0000  0.0182
      4   0.0076  0.0083     0.0000  0.0202
      5   0.0091  0.0083     0.0000  0.0219
      6   0.0101  0.0082     0.0000  0.0231
      7   0.0058  0.0037     0.0000  0.0083
      8   0.0065  0.0033     0.0000  0.0091
      9   0.0070  0.0032     0.0001  0.0103
     10   0.0074  0.0029     0.0001  0.0106
     11   0.0069  0.0026     0.0001  0.0079
     12   0.0071  0.0026     0.0001  0.0091
     13   0.0071  0.0027     0.0001  0.0091
     14   0.0073  0.0027     0.0001  0.0100
     15   0.0071  0.0025     0.0001  0.0085
     16   0.0073  0.0022     0.0003  0.0087
     17   0.0074  0.0024     0.0003  0.0098
     18   0.0074  0.0025     0.0003  0.0100
     19   0.0073  0.0024     0.0002  0.0095

