Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5402  2.7576    -8.9914 -0.4218
      1  -4.4946  2.7748    -8.9857 -0.3857
      2  -4.4106  2.8039    -8.9748 -0.3311
      3  -4.2697  2.8460    -8.9553 -0.2640
      4  -4.0687  2.8924    -8.9245 -0.2107
      5  -3.8186  2.9291    -8.8805 -0.1701
      6  -3.5623  2.9434    -8.8272 -0.1432
      7  -2.3912  2.5221    -8.1192 -0.0987
      8  -1.9661  2.2286    -7.3041 -0.0872
      9  -1.3163  1.8308    -5.9387 -0.0684
     10  -1.0779  1.4939    -4.0336 -0.0648
     11  -0.7358  1.2405    -2.6362 -0.0522
     12  -0.5406  1.0212    -1.7795 -0.0457
     13  -0.4122  0.8487    -1.3570 -0.0409
     14  -0.3221  0.7050    -1.1170 -0.0375
     15  -0.2574  0.5842    -0.9702 -0.0350
     16  -0.2195  0.4686    -0.8835 -0.0338
     17  -0.1830  0.3907    -0.7797 -0.0322
     18  -0.1572  0.3250    -0.7370 -0.0310
     19  -0.1379  0.2742    -0.6973 -0.0301

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0003  0.0013     0.0000  0.0001
      1   0.0006  0.0018     0.0000  0.0016
      2   0.0009  0.0023     0.0000  0.0041
      3   0.0015  0.0029     0.0000  0.0055
      4   0.0024  0.0035     0.0000  0.0062
      5   0.0035  0.0037     0.0000  0.0065
      6   0.0046  0.0037     0.0000  0.0067
      7   0.0052  0.0037     0.0000  0.0069
      8   0.0061  0.0033     0.0000  0.0070
      9   0.0066  0.0031     0.0000  0.0086
     10   0.0070  0.0027     0.0001  0.0090
     11   0.0073  0.0028     0.0001  0.0104
     12   0.0076  0.0029     0.0002  0.0113
     13   0.0079  0.0030     0.0003  0.0119
     14   0.0082  0.0032     0.0004  0.0124
     15   0.0085  0.0034     0.0004  0.0128
     16   0.0088  0.0035     0.0005  0.0131
     17   0.0091  0.0038     0.0005  0.0134
     18   0.0094  0.0039     0.0006  0.0136
     19   0.0098  0.0041     0.0006  0.0138

