Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6710  2.7003    -9.0066 -0.5800
      1  -7.0535  1.3905    -7.8889 -5.1557
      2  -5.9151  0.8297    -7.0828 -5.0429
      3  -6.4539  0.6483    -7.2719 -6.0489
      4  -6.1506  0.5495    -6.7243 -5.8480
      5  -6.3134  0.5190    -6.8197 -6.1443
      6  -6.3391  0.3946    -6.8088 -6.2321
      7  -6.3502  0.3124    -6.8003 -6.2949
      8  -6.0792  1.4018    -8.0343 -2.8092
      9  -4.7060  2.7230    -9.0123 -0.5078
     10  -4.7639  2.7090    -9.0139 -0.5267
     11  -4.8391  2.6861    -9.0112 -0.5529
     12  -4.9441  2.6469    -9.0008 -0.5927
     13  -5.0999  2.5780    -8.9782 -0.6592
     14  -5.3148  2.4591    -8.9334 -0.7781
     15  -5.5835  2.2707    -8.8579 -0.9980
     16  -5.8701  2.0108    -8.7468 -1.4147
     17  -6.1163  1.7167    -8.6166 -2.1825
     18  -6.2950  1.4401    -8.4985 -3.4867
     19  -6.4075  1.2206    -8.4097 -4.8603

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1023  0.0586     0.0071  0.1899
      1   0.1019  0.0587     0.0068  0.1899
      2   0.1010  0.0591     0.0057  0.1898
      3   0.1006  0.0593     0.0056  0.1897
      4   0.1019  0.0590     0.0061  0.1900
      5   0.1029  0.0587     0.0065  0.1901
      6   0.1070  0.0568     0.0119  0.1905
      7   0.1097  0.0554     0.0162  0.1908
      8   0.0171  0.0155     0.0000  0.0441
      9   0.0002  0.0008     0.0000  0.0001
     10   0.0003  0.0011     0.0000  0.0001
     11   0.0004  0.0015     0.0000  0.0001
     12   0.0007  0.0020     0.0000  0.0033
     13   0.0012  0.0026     0.0000  0.0049
     14   0.0020  0.0031     0.0000  0.0058
     15   0.0030  0.0034     0.0000  0.0062
     16   0.0042  0.0034     0.0000  0.0064
     17   0.0052  0.0031     0.0000  0.0066
     18   0.0059  0.0026     0.0000  0.0066
     19   0.0064  0.0020     0.0001  0.0066

