Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.3105  1.9028    -9.1807 -3.4701
      1  -4.8458  1.2968    -6.5126 -2.3682
      2  -5.6588  0.7305    -6.5740 -5.0279
      3  -5.2476  0.5940    -5.8836 -4.9087
      4  -4.9571  0.6626    -5.5071 -4.5595
      5  -5.0308  0.4557    -5.4992 -5.0059
      6  -5.0260  0.3401    -5.4658 -5.0078
      7  -5.0397  0.2526    -5.4628 -5.0155
      8  -4.9713  0.6898    -5.5246 -4.6784
      9  -4.7876  1.1660    -6.5412 -2.6495
     10  -4.8138  0.9024    -5.6950 -3.8159
     11  -4.4888  1.6329    -7.9173 -1.3361
     12  -4.4849  1.3430    -6.9613 -1.9704
     13  -4.4825  1.1025    -5.7781 -2.6840
     14  -4.4810  0.9261    -5.5115 -3.1109
     15  -4.6197  0.7132    -5.4930 -3.7997
     16  -4.6906  0.5784    -5.4821 -4.0874
     17  -4.7409  0.4861    -5.4831 -4.2632
     18  -4.7029  0.4181    -5.3637 -4.2592
     19  -4.7450  0.3599    -5.3779 -4.3753

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0986  0.0598     0.0042  0.1894
      1   0.0963  0.0602     0.0037  0.1890
      2   0.1016  0.0591     0.0053  0.1899
      3   0.1025  0.0588     0.0057  0.1900
      4   0.0972  0.0606     0.0022  0.1893
      5   0.1087  0.0576     0.0092  0.1910
      6   0.1116  0.0558     0.0156  0.1913
      7   0.1173  0.0534     0.0226  0.1920
      8   0.0536  0.0397     0.0001  0.1279
      9   0.0237  0.0207     0.0000  0.0601
     10   0.0258  0.0203     0.0001  0.0614
     11   0.0079  0.0078     0.0000  0.0197
     12   0.0094  0.0076     0.0000  0.0204
     13   0.0104  0.0074     0.0000  0.0210
     14   0.0110  0.0072     0.0001  0.0215
     15   0.0122  0.0075     0.0002  0.0238
     16   0.0133  0.0077     0.0005  0.0252
     17   0.0143  0.0079     0.0008  0.0262
     18   0.0152  0.0081     0.0010  0.0271
     19   0.0162  0.0083     0.0013  0.0281

