Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.1938  1.9149    -9.1653 -3.4691
      1  -7.6689  1.1434    -5.6153 -6.3797
      2  -8.3162  0.8747    -3.2931 -7.5848
      3  -8.6981  0.7748    -1.8536 -8.1890
      4  -8.8659  0.6686    -1.3059 -8.4961
      5  -8.9754  0.5752    -0.9762 -8.7172
      6  -8.6521  1.2037    -1.5327 -7.7296
      7  -8.7842  0.9241    -1.4305 -8.4251
      8  -8.8573  0.6977    -1.3924 -8.5166
      9  -8.9110  0.5437    -1.3134 -8.6519
     10  -8.7943  0.6175    -2.2245 -8.5064
     11  -8.8838  0.6797    -1.3782 -8.6308
     12  -8.9274  0.5217    -1.3370 -8.7002
     13  -8.7271  0.9740    -1.7352 -8.3857
     14  -7.8989  2.1155    -2.2871 -2.3333
     15  -8.2803  1.6660    -2.0703 -4.1079
     16  -8.5103  1.2705    -1.9575 -7.1688
     17  -8.6395  0.9599    -1.8984 -8.0163
     18  -8.7165  0.7481    -1.8401 -8.1956
     19  -8.7638  0.5954    -1.7975 -8.2659

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0994  0.0596     0.0046  0.1895
      1   0.1010  0.0592     0.0052  0.1898
      2   0.1027  0.0584     0.0074  0.1899
      3   0.1053  0.0577     0.0091  0.1904
      4   0.1118  0.0559     0.0139  0.1914
      5   0.1181  0.0541     0.0196  0.1923
      6   0.0608  0.0451     0.0001  0.1476
      7   0.0672  0.0446     0.0036  0.1520
      8   0.0717  0.0438     0.0091  0.1548
      9   0.0770  0.0435     0.0143  0.1587
     10   0.0731  0.0442     0.0109  0.1578
     11   0.0626  0.0375     0.0090  0.1322
     12   0.0665  0.0372     0.0136  0.1356
     13   0.0400  0.0251     0.0017  0.0834
     14   0.0146  0.0126     0.0000  0.0344
     15   0.0164  0.0122     0.0000  0.0358
     16   0.0175  0.0118     0.0001  0.0365
     17   0.0182  0.0116     0.0005  0.0369
     18   0.0193  0.0115     0.0011  0.0380
     19   0.0204  0.0115     0.0016  0.0390

