Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.9181  2.5583    -9.0314 -1.0578
      1  -2.7435  1.3664    -4.8759 -0.8288
      2  -3.8605  0.7949    -4.9801 -2.9595
      3  -4.3926  0.5969    -5.1366 -3.9633
      4  -4.6667  0.5586    -5.2653 -4.3584
      5  -4.8368  0.5870    -5.5829 -4.5798
      6  -4.7295  0.3407    -5.0275 -4.5689
      7  -4.7138  0.2437    -4.9956 -4.5733
      8  -4.7113  0.1873    -4.9932 -4.5783
      9  -4.7090  0.1525    -4.9909 -4.5794
     10  -4.7092  0.1299    -4.9904 -4.5821
     11  -4.7094  0.1162    -4.9902 -4.5843
     12  -4.7097  0.1080    -4.9900 -4.5861
     13  -4.7100  0.1030    -4.9899 -4.5876
     14  -4.7117  0.0935    -4.9899 -4.5931
     15  -4.7132  0.0877    -4.9899 -4.5995
     16  -4.7128  0.0873    -4.9898 -4.5980
     17  -4.7129  0.0866    -4.9898 -4.5987
     18  -4.7130  0.0862    -4.9898 -4.5992
     19  -4.7139  0.0838    -4.9899 -4.6032

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1024  0.0585     0.0077  0.1899
      1   0.1025  0.0584     0.0078  0.1899
      2   0.1020  0.0586     0.0071  0.1899
      3   0.1018  0.0587     0.0067  0.1899
      4   0.1004  0.0588     0.0059  0.1895
      5   0.0980  0.0591     0.0049  0.1889
      6   0.1111  0.0556     0.0143  0.1911
      7   0.1165  0.0531     0.0226  0.1917
      8   0.1185  0.0518     0.0271  0.1918
      9   0.1220  0.0503     0.0318  0.1923
     10   0.1229  0.0497     0.0341  0.1923
     11   0.1236  0.0492     0.0358  0.1924
     12   0.1247  0.0485     0.0378  0.1925
     13   0.1256  0.0480     0.0396  0.1926
     14   0.1259  0.0477     0.0406  0.1926
     15   0.1263  0.0474     0.0418  0.1927
     16   0.1282  0.0467     0.0438  0.1929
     17   0.1286  0.0464     0.0448  0.1929
     18   0.1292  0.0461     0.0459  0.1930
     19   0.1295  0.0459     0.0467  0.1930

