Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.0473  2.9186    -8.9252 -0.1653
      1  -3.7340  2.9732    -8.8725 -0.1225
      2  -3.3650  2.9943    -8.7958 -0.0950
      3  -5.0243  2.6406    -9.0598 -0.6056
      4  -5.1796  2.5873    -9.0782 -0.6799
      5  -4.6407  2.7308    -9.0061 -0.4792
      6  -4.6382  2.7285    -9.0053 -0.4888
      7  -4.5963  2.7288    -8.9958 -0.4782
      8  -4.5544  2.7316    -8.9873 -0.4656
      9  -4.5107  2.7322    -8.9771 -0.4522
     10  -4.4640  2.7324    -8.9654 -0.4355
     11  -4.4107  2.7348    -8.9525 -0.4116
     12  -4.4803  2.7220    -8.9655 -0.4569
     13  -4.4396  2.7202    -8.9549 -0.4485
     14  -4.4799  2.7193    -8.9641 -0.4584
     15  -4.5201  2.7221    -8.9751 -0.4663
     16  -4.5603  2.7243    -8.9857 -0.4744
     17  -4.5202  2.7219    -8.9750 -0.4664
     18  -4.5608  2.7228    -8.9849 -0.4752
     19  -4.5209  2.7243    -8.9763 -0.4653

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0032  0.0082     0.0000  0.0131
      1   0.0050  0.0098     0.0000  0.0195
      2   0.0071  0.0111     0.0000  0.0250
      3   0.0032  0.0039     0.0000  0.0067
      4   0.0044  0.0040     0.0000  0.0069
      5   0.0002  0.0008     0.0000  0.0001
      6   0.0001  0.0001     0.0000  0.0001
      7   0.0001  0.0002     0.0000  0.0001
      8   0.0001  0.0002     0.0000  0.0001
      9   0.0001  0.0003     0.0000  0.0001
     10   0.0001  0.0004     0.0000  0.0001
     11   0.0002  0.0006     0.0000  0.0001
     12   0.0001  0.0001     0.0000  0.0001
     13   0.0001  0.0001     0.0000  0.0001
     14   0.0001  0.0001     0.0000  0.0001
     15   0.0001  0.0000     0.0000  0.0001
     16   0.0001  0.0000     0.0000  0.0001
     17   0.0001  0.0000     0.0000  0.0001
     18   0.0001  0.0000     0.0000  0.0001
     19   0.0001  0.0000     0.0000  0.0001

