Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6115  2.7302    -9.0002 -0.4845
      1  -2.2999  1.4592    -4.5796 -0.2493
      2  -1.1381  0.9154    -2.3310 -0.1299
      3  -0.6203  0.7241    -1.3233 -0.0771
      4  -0.3423  0.6267    -0.8150 -0.0495
      5  -0.1977  0.5381    -0.5648 -0.0362
      6  -0.0822  0.5225    -0.4406 -0.0248
      7  -0.2958  1.2342    -1.2750 -0.0253
      8  -0.1715  0.9336    -0.4676 -0.0244
      9  -0.1007  0.7038    -0.2727 -0.0239
     10  -0.0604  0.5285    -0.2666 -0.0236
     11  -0.0750  0.6133    -0.2661 -0.0235
     12  -0.0586  0.5345    -0.2639 -0.0234
     13  -0.0366  0.3962    -0.2620 -0.0233
     14  -0.0235  0.2794    -0.2611 -0.0233
     15  -0.0169  0.1968    -0.2607 -0.0232
     16  -0.0138  0.1453    -0.2602 -0.0232
     17  -0.0121  0.1078    -0.2600 -0.0232
     18  -0.0111  0.0758    -0.2599 -0.0232
     19  -0.0106  0.0560    -0.2599 -0.0232

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0069  0.1898
      1   0.1019  0.0587     0.0070  0.1899
      2   0.1023  0.0585     0.0076  0.1899
      3   0.1030  0.0581     0.0090  0.1899
      4   0.1051  0.0574     0.0112  0.1903
      5   0.1081  0.0561     0.0148  0.1906
      6   0.1087  0.0554     0.0161  0.1906
      7   0.0505  0.0384     0.0001  0.1236
      8   0.0554  0.0381     0.0036  0.1277
      9   0.0601  0.0379     0.0084  0.1317
     10   0.0645  0.0378     0.0123  0.1357
     11   0.0575  0.0338     0.0101  0.1196
     12   0.0617  0.0352     0.0123  0.1267
     13   0.0651  0.0351     0.0156  0.1296
     14   0.0656  0.0348     0.0167  0.1299
     15   0.0660  0.0346     0.0175  0.1301
     16   0.0690  0.0347     0.0202  0.1331
     17   0.0721  0.0348     0.0224  0.1361
     18   0.0723  0.0347     0.0228  0.1362
     19   0.0750  0.0347     0.0249  0.1386

