Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.0918  1.4130    -4.1441 -0.2246
      1  -3.0929  0.9115    -4.2216 -2.1494
      2  -2.5667  0.7692    -3.2812 -2.0361
      3  -2.8475  0.6979    -3.4161 -2.5016
      4  -2.9951  0.6746    -3.6168 -2.7236
      5  -2.9203  0.5034    -3.1795 -2.7248
      6  -2.8601  0.9377    -3.7568 -2.4219
      7  -2.7560  0.8478    -3.2161 -2.3965
      8  -2.6908  0.6473    -3.0946 -2.4277
      9  -2.6878  0.4870    -3.0707 -2.6376
     10  -2.8520  0.8187    -3.2905 -2.5918
     11  -2.9567  0.8643    -3.5014 -2.6510
     12  -2.9581  0.7225    -3.3081 -2.6958
     13  -2.9313  0.5481    -3.1634 -2.7383
     14  -2.9081  0.5823    -3.1605 -2.6880
     15  -2.8689  0.7762    -3.2079 -2.6497
     16  -2.8388  0.6024    -3.1572 -2.6581
     17  -2.8320  0.4789    -3.1539 -2.6652
     18  -2.8387  0.3864    -3.1531 -2.6738
     19  -2.8372  0.3014    -3.1519 -2.6792

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0596     0.0030  0.1897
      1   0.1001  0.0597     0.0028  0.1897
      2   0.1003  0.0596     0.0030  0.1897
      3   0.1010  0.0596     0.0029  0.1899
      4   0.1003  0.0598     0.0028  0.1897
      5   0.1116  0.0564     0.0117  0.1913
      6   0.0589  0.0439     0.0001  0.1416
      7   0.0635  0.0454     0.0001  0.1489
      8   0.0691  0.0448     0.0032  0.1527
      9   0.0753  0.0437     0.0104  0.1564
     10   0.0461  0.0296     0.0001  0.0970
     11   0.0467  0.0315     0.0001  0.1020
     12   0.0527  0.0325     0.0003  0.1090
     13   0.0564  0.0318     0.0071  0.1114
     14   0.0520  0.0294     0.0059  0.1027
     15   0.0388  0.0219     0.0001  0.0743
     16   0.0415  0.0214     0.0049  0.0759
     17   0.0438  0.0212     0.0088  0.0784
     18   0.0458  0.0211     0.0115  0.0804
     19   0.0473  0.0208     0.0142  0.0816

