Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.8552  2.5932    -9.0250 -0.9397
      1  -2.5445  1.3352    -4.6064 -0.6959
      2  -3.5872  0.8090    -4.7054 -2.6877
      3  -4.1210  0.6166    -4.8274 -3.6924
      4  -4.4144  0.5964    -5.0481 -4.1249
      5  -4.2235  0.4560    -4.6686 -4.0098
      6  -4.2498  0.3568    -4.6606 -4.2198
      7  -4.2184  0.2479    -4.4744 -4.2200
      8  -4.2185  0.1852    -4.4738 -4.2212
      9  -4.2154  0.1368    -4.4722 -4.2216
     10  -4.2139  0.1060    -4.4711 -4.2219
     11  -4.2195  0.0779    -4.4712 -4.2270
     12  -4.2806  0.2072    -4.6970 -4.2285
     13  -4.2378  0.1601    -4.6066 -4.2261
     14  -4.2387  0.1281    -4.6041 -4.2275
     15  -4.2365  0.1059    -4.5915 -4.2276
     16  -4.2373  0.0929    -4.5908 -4.2285
     17  -4.2375  0.0855    -4.5901 -4.2289
     18  -4.2378  0.0811    -4.5895 -4.2292
     19  -4.2380  0.0785    -4.5892 -4.2295

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0586     0.0073  0.1898
      1   0.1020  0.0586     0.0072  0.1898
      2   0.1018  0.0588     0.0065  0.1899
      3   0.1018  0.0589     0.0062  0.1899
      4   0.1015  0.0595     0.0051  0.1900
      5   0.1042  0.0585     0.0075  0.1904
      6   0.1136  0.0558     0.0142  0.1917
      7   0.1219  0.0524     0.0246  0.1926
      8   0.1228  0.0515     0.0280  0.1927
      9   0.1240  0.0506     0.0312  0.1928
     10   0.1249  0.0498     0.0339  0.1928
     11   0.1290  0.0476     0.0411  0.1933
     12   0.0736  0.0397     0.0166  0.1477
     13   0.0795  0.0405     0.0200  0.1542
     14   0.0805  0.0401     0.0219  0.1547
     15   0.0813  0.0398     0.0233  0.1551
     16   0.0822  0.0395     0.0247  0.1556
     17   0.0826  0.0393     0.0256  0.1557
     18   0.0832  0.0391     0.0266  0.1560
     19   0.0838  0.0389     0.0278  0.1563

