trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  765 430.00  0.00 800.00 12.90  1
  1  701 390.00  0.00 800.00 520.00  0
  2  608 340.00  0.00 800.00 104.00  1
  3  753 420.00  0.00 800.00 156.00  1
  4  754 420.00  0.00 800.00 260.00  1
  5  844 470.00  0.00 800.00 260.00  1
  6  701 390.00  0.00 800.00 520.00  0
  7  593 330.00  0.00 800.00 520.00  0
  8  844 470.00  0.00 800.00 260.00  1
  9  593 310.00  0.00 800.00 260.00  0
 10    8  10.00  0.00 800.00 10.80  1
 11    7  10.00  0.00 800.00  8.60  1
 12    6  10.00  0.00 800.00  6.44  1
 13    6  10.00  0.00 800.00  8.60  1
 14    5  10.00  0.00 800.00  4.30  1
 15  863 480.00  0.00 800.00 520.00  0
 16  538 300.00  0.00 800.00 260.00  0
 17  573 320.00  0.00 800.00 156.00  0
 18    3  10.00  0.00 800.00  2.00  1
 19    0  10.00  0.00 800.00  0.43  1
