Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5085  2.7690    -8.9873 -0.3982
      1  -4.4405  2.7926    -8.9785 -0.3521
      2  -4.3307  2.8265    -8.9635 -0.2932
      3  -4.1778  2.8658    -8.9410 -0.2397
      4  -4.0091  2.8985    -8.9135 -0.2026
      5  -3.8557  2.9186    -8.8858 -0.1788
      6  -2.4605  2.4420    -8.0270 -0.1138
      7  -2.0889  2.1690    -7.1619 -0.1020
      8  -1.3801  1.7899    -5.7378 -0.0756
      9  -2.3427  2.0205    -7.2922 -0.2277
     10  -2.0737  1.7321    -5.9096 -0.2143
     11  -2.7422  1.6856    -6.5511 -0.6765
     12  -2.5969  1.4820    -5.5098 -0.6894
     13  -2.1113  1.2971    -4.2106 -0.4878
     14  -2.4769  1.2005    -4.4806 -1.0840
     15  -2.1969  1.0717    -3.6846 -0.9122
     16  -2.4552  1.0048    -3.9064 -1.3801
     17  -2.2661  0.9041    -3.4377 -1.2722
     18  -2.4329  0.8354    -3.5762 -1.5949
     19  -2.2911  0.7590    -3.2934 -1.4866

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0007  0.0021     0.0000  0.0030
      1   0.0012  0.0027     0.0000  0.0050
      2   0.0019  0.0034     0.0000  0.0060
      3   0.0030  0.0038     0.0000  0.0065
      4   0.0041  0.0040     0.0000  0.0068
      5   0.0053  0.0038     0.0000  0.0070
      6   0.0057  0.0040     0.0000  0.0093
      7   0.0065  0.0036     0.0000  0.0101
      8   0.0070  0.0037     0.0000  0.0114
      9   0.0058  0.0032     0.0000  0.0068
     10   0.0064  0.0027     0.0000  0.0069
     11   0.0063  0.0028     0.0000  0.0069
     12   0.0067  0.0023     0.0001  0.0069
     13   0.0069  0.0023     0.0001  0.0069
     14   0.0069  0.0024     0.0001  0.0071
     15   0.0071  0.0024     0.0001  0.0085
     16   0.0072  0.0025     0.0001  0.0091
     17   0.0074  0.0026     0.0002  0.0101
     18   0.0075  0.0027     0.0002  0.0107
     19   0.0077  0.0028     0.0003  0.0113

