Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.6411  1.6251    -9.2070 -4.3792
      1  -7.9095  1.0717    -4.7120 -6.8689
      2  -7.3074  0.8491    -8.3686 -6.7189
      3  -6.8765  0.7952    -7.5916 -6.3774
      4  -6.7069  0.7705    -7.3037 -6.0716
      5  -6.1954  1.2447    -7.2452 -3.6352
      6  -5.4932  1.5644    -7.2880 -2.0009
      7  -4.7445  1.7747    -7.6832 -1.1932
      8  -4.7903  1.5703    -6.9483 -1.5863
      9  -4.8221  1.4167    -6.6544 -1.9828
     10  -4.1005  1.5638    -6.3635 -1.1197
     11  -4.4573  1.2184    -6.2540 -2.4883
     12  -4.8419  1.0883    -6.4182 -3.2924
     13  -4.8563  0.9550    -6.2929 -3.5289
     14  -4.5075  0.9719    -5.9476 -3.1613
     15  -4.1902  1.0004    -5.5810 -2.7447
     16  -3.8262  1.1361    -5.3673 -2.0625
     17  -3.8014  1.0062    -5.1843 -2.2322
     18  -3.3547  1.2021    -4.9659 -1.3524
     19  -3.5943  0.9713    -4.9483 -2.2564

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1006  0.0594     0.0043  0.1897
      1   0.1010  0.0592     0.0048  0.1898
      2   0.0993  0.0597     0.0040  0.1896
      3   0.0979  0.0607     0.0020  0.1895
      4   0.0972  0.0607     0.0019  0.1892
      5   0.0389  0.0386     0.0000  0.1162
      6   0.0125  0.0120     0.0000  0.0330
      7   0.0064  0.0052     0.0000  0.0129
      8   0.0074  0.0049     0.0000  0.0133
      9   0.0081  0.0046     0.0001  0.0135
     10   0.0067  0.0033     0.0000  0.0100
     11   0.0072  0.0033     0.0001  0.0111
     12   0.0074  0.0035     0.0001  0.0117
     13   0.0077  0.0032     0.0001  0.0118
     14   0.0074  0.0030     0.0001  0.0110
     15   0.0072  0.0028     0.0001  0.0100
     16   0.0067  0.0025     0.0001  0.0069
     17   0.0070  0.0021     0.0001  0.0069
     18   0.0066  0.0020     0.0001  0.0067
     19   0.0067  0.0018     0.0001  0.0068

