Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6122  2.7299    -9.0003 -0.4852
      1  -2.4268  1.5251    -4.8233 -0.2626
      2  -3.5839  0.9163    -4.9391 -2.4556
      3  -2.9288  0.6303    -3.6876 -2.3877
      4  -2.6394  0.5160    -3.1643 -2.2667
      5  -2.7926  0.4117    -3.2645 -2.5948
      6  -2.9310  0.3820    -3.3697 -2.7511
      7  -2.8907  0.2801    -3.1602 -2.7446
      8  -2.7600  0.5332    -3.1565 -2.5470
      9  -2.6775  0.4778    -3.1020 -2.4855
     10  -2.6531  0.3656    -3.0568 -2.5064
     11  -2.6682  0.2742    -3.0593 -2.6442
     12  -2.6596  0.2084    -3.0361 -2.6448
     13  -2.6536  0.1630    -3.0088 -2.6453
     14  -2.6635  0.1352    -3.0348 -2.6505
     15  -2.6578  0.1090    -3.0021 -2.6505
     16  -2.6517  0.0882    -2.9382 -2.6504
     17  -2.6601  0.0889    -3.0082 -2.6521
     18  -2.6610  0.0821    -3.0117 -2.6526
     19  -2.6585  0.0749    -2.9928 -2.6525

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0587     0.0069  0.1898
      1   0.1019  0.0587     0.0070  0.1899
      2   0.1019  0.0588     0.0068  0.1899
      3   0.1019  0.0587     0.0071  0.1899
      4   0.1033  0.0583     0.0081  0.1901
      5   0.1068  0.0568     0.0119  0.1905
      6   0.1059  0.0569     0.0120  0.1903
      7   0.1147  0.0542     0.0199  0.1916
      8   0.0643  0.0425     0.0047  0.1447
      9   0.0686  0.0441     0.0060  0.1516
     10   0.0724  0.0436     0.0093  0.1542
     11   0.0784  0.0429     0.0153  0.1581
     12   0.0802  0.0424     0.0181  0.1590
     13   0.0820  0.0419     0.0209  0.1600
     14   0.0872  0.0422     0.0248  0.1649
     15   0.0890  0.0418     0.0273  0.1659
     16   0.0909  0.0415     0.0293  0.1670
     17   0.0941  0.0420     0.0313  0.1705
     18   0.0958  0.0416     0.0336  0.1713
     19   0.0967  0.0413     0.0350  0.1717

