Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6615  2.7062    -9.0057 -0.5576
      1  -6.7866  1.5273    -8.8459 -4.6438
      2  -5.5075  0.8767    -6.7939 -4.5173
      3  -4.8375  0.6327    -5.5697 -4.3261
      4  -5.1493  0.4985    -5.7381 -4.8879
      5  -5.3054  0.4798    -5.8855 -5.1207
      6  -5.2482  0.3444    -5.5293 -5.1173
      7  -5.2716  0.2584    -5.5287 -5.2733
      8  -5.2626  0.1840    -5.5210 -5.2738
      9  -5.2614  0.1353    -5.5190 -5.2743
     10  -5.2611  0.1022    -5.5180 -5.2746
     11  -5.2626  0.0765    -5.5179 -5.2753
     12  -5.2636  0.0596    -5.5179 -5.2761
     13  -5.2673  0.0405    -5.5180 -5.2796
     14  -5.2675  0.0327    -5.5180 -5.2797
     15  -5.2807  0.0992    -5.5533 -5.2798
     16  -5.2716  0.0697    -5.5224 -5.2795
     17  -5.2678  0.0500    -5.5188 -5.2794
     18  -5.2686  0.0389    -5.5187 -5.2801
     19  -5.2687  0.0319    -5.5187 -5.2803

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1024  0.0586     0.0072  0.1899
      1   0.1017  0.0587     0.0069  0.1898
      2   0.1009  0.0591     0.0060  0.1897
      3   0.1001  0.0593     0.0052  0.1896
      4   0.1017  0.0590     0.0061  0.1899
      5   0.1009  0.0592     0.0059  0.1898
      6   0.1134  0.0560     0.0136  0.1917
      7   0.1212  0.0529     0.0221  0.1926
      8   0.1263  0.0498     0.0331  0.1930
      9   0.1283  0.0483     0.0388  0.1932
     10   0.1297  0.0472     0.0426  0.1933
     11   0.1301  0.0467     0.0441  0.1933
     12   0.1307  0.0463     0.0457  0.1933
     13   0.1348  0.0443     0.0525  0.1938
     14   0.1350  0.0441     0.0531  0.1938
     15   0.0860  0.0404     0.0253  0.1600
     16   0.0898  0.0399     0.0295  0.1626
     17   0.0937  0.0395     0.0334  0.1652
     18   0.0964  0.0391     0.0363  0.1670
     19   0.0968  0.0389     0.0372  0.1672

