Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.5562  1.3149    -3.1314 -0.1637
      1  -2.3184  1.0592    -3.5954 -1.5968
      2  -2.7524  1.0640    -4.6805 -2.1918
      3  -2.9522  1.1023    -5.3725 -2.4725
      4  -3.5057  1.5532    -7.7004 -2.6445
      5  -3.0270  0.9060    -4.1892 -2.6509
      6  -3.0448  0.7767    -3.8887 -2.7703
      7  -3.5435  1.3622    -7.0706 -2.6803
      8  -3.2886  1.0105    -5.0002 -2.7679
      9  -3.1607  0.8064    -3.9226 -2.8034
     10  -3.2725  0.8293    -4.1572 -2.9162
     11  -3.1947  0.6419    -3.6857 -2.9226
     12  -3.2204  0.5491    -3.6813 -2.9724
     13  -3.1761  0.4296    -3.5969 -2.9704
     14  -3.1872  0.3459    -3.5938 -3.0416
     15  -3.2189  0.3502    -3.6415 -3.1690
     16  -3.3016  0.4694    -3.7712 -3.1752
     17  -3.2481  0.3943    -3.6657 -3.1728
     18  -3.2915  0.4108    -3.6850 -3.1786
     19  -3.3239  0.3857    -3.7049 -3.1851

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0976  0.0607     0.0001  0.1893
      1   0.0960  0.0612     0.0001  0.1891
      2   0.0922  0.0617     0.0001  0.1882
      3   0.0908  0.0618     0.0001  0.1878
      4   0.0555  0.0538     0.0000  0.1644
      5   0.0713  0.0539     0.0001  0.1724
      6   0.0807  0.0555     0.0006  0.1784
      7   0.0247  0.0233     0.0000  0.0671
      8   0.0297  0.0238     0.0001  0.0721
      9   0.0344  0.0243     0.0001  0.0770
     10   0.0312  0.0220     0.0001  0.0690
     11   0.0345  0.0219     0.0014  0.0722
     12   0.0372  0.0228     0.0031  0.0765
     13   0.0405  0.0229     0.0070  0.0801
     14   0.0434  0.0234     0.0086  0.0834
     15   0.0428  0.0234     0.0082  0.0828
     16   0.0323  0.0175     0.0040  0.0610
     17   0.0354  0.0180     0.0070  0.0650
     18   0.0330  0.0167     0.0058  0.0602
     19   0.0326  0.0162     0.0062  0.0590

