Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.5658  2.2020    -9.0978 -2.2678
      1  -3.8937  1.2918    -5.9159 -2.0670
      2  -4.8824  0.7804    -6.0118 -4.0100
      3  -4.3430  0.5585    -4.9948 -3.9586
      4  -4.0721  0.5049    -4.5817 -3.7787
      5  -3.9190  0.5129    -4.3903 -3.5908
      6  -3.5941  0.9694    -4.3816 -1.9331
      7  -3.7982  0.6785    -4.3353 -3.2869
      8  -3.7777  0.5317    -4.2119 -3.4060
      9  -3.9685  1.3708    -7.1702 -1.8649
     10  -3.9016  1.0856    -5.5037 -2.4629
     11  -3.9408  0.8441    -4.7888 -3.1452
     12  -3.9726  0.6640    -4.6803 -3.4634
     13  -4.0071  0.5385    -4.6522 -3.6586
     14  -3.9412  0.4686    -4.4669 -3.6144
     15  -3.8150  0.6593    -4.4524 -3.3353
     16  -3.7320  1.2733    -6.7096 -2.2355
     17  -3.6564  0.9940    -4.8793 -2.6940
     18  -4.4049  2.6191    -8.9121 -0.4990
     19  -4.3626  2.5434    -8.8754 -0.5364

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1040  0.0580     0.0078  0.1901
      1   0.1040  0.0581     0.0076  0.1901
      2   0.1045  0.0579     0.0083  0.1902
      3   0.1054  0.0578     0.0085  0.1904
      4   0.1053  0.0580     0.0078  0.1905
      5   0.1037  0.0586     0.0064  0.1902
      6   0.0419  0.0368     0.0001  0.1130
      7   0.0521  0.0380     0.0005  0.1234
      8   0.0548  0.0375     0.0035  0.1252
      9   0.0149  0.0133     0.0000  0.0371
     10   0.0167  0.0130     0.0000  0.0383
     11   0.0188  0.0130     0.0001  0.0399
     12   0.0208  0.0129     0.0003  0.0413
     13   0.0226  0.0130     0.0013  0.0436
     14   0.0242  0.0135     0.0020  0.0460
     15   0.0179  0.0102     0.0003  0.0332
     16   0.0091  0.0064     0.0000  0.0180
     17   0.0100  0.0061     0.0000  0.0184
     18   0.0006  0.0018     0.0000  0.0023
     19   0.0010  0.0024     0.0000  0.0044

