trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1279 720.00  0.00 800.00  0.71  1
  1  664 370.00  0.00 800.00 260.00  0
  2  822 460.00  0.00 800.00 26.00  1
  3  698 390.00  0.00 800.00 104.00  0
  4  769 430.00  0.00 800.00 52.00  0
  5  661 370.00  0.00 800.00 52.00  1
  6  769 440.00  0.00 800.00 104.00  0
  7  769 410.00  0.00 800.00 104.00  0
  8  769 440.00  0.00 800.00 26.00  0
  9  642 360.00  0.00 800.00 26.00  1
 10  697 390.00  0.00 800.00 52.00  1
 11  606 340.00  0.00 800.00 26.00  1
 12  643 360.00  0.00 800.00 52.00  1
 13  841 470.00  0.00 800.00 52.00  0
 14  841 470.00  0.00 800.00 104.00  0
 15  643 360.00  0.00 800.00 52.00  0
 16  679 380.00  0.00 800.00 52.00  0
 17  678 380.00  0.00 800.00 26.00  1
 18  697 390.00  0.00 800.00 52.00  0
 19  733 410.00  0.00 800.00 52.00  1
