Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.0444  2.9175    -8.9243 -0.1659
      1  -3.7809  2.9644    -8.8803 -0.1284
      2  -2.6773  2.8248    -8.5347 -0.0781
      3  -2.0466  2.5466    -8.0614 -0.0634
      4  -1.5351  2.1706    -7.1487 -0.0554
      5  -2.5186  2.2704    -7.9068 -0.2342
      6  -2.1628  1.9708    -6.9548 -0.2158
      7  -1.6032  1.7587    -6.0994 -0.1485
      8  -1.3784  1.4331    -4.0830 -0.1414
      9  -1.0292  1.3252    -3.1088 -0.0957
     10  -1.4474  1.4589    -4.5388 -0.2230
     11  -1.2938  1.1717    -2.9612 -0.2176
     12  -1.7342  1.3096    -4.0560 -0.4752
     13  -1.6234  1.0823    -3.2461 -0.4761
     14  -1.8379  1.0199    -3.4204 -0.8189
     15  -2.2883  1.1645    -4.4115 -1.1480
     16  -2.8694  1.3822    -5.8516 -1.4552
     17  -2.7749  1.2025    -5.1953 -1.5024
     18  -2.4414  0.9998    -4.0162 -1.3987
     19  -2.7793  1.0626    -4.6261 -1.6856

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0044  0.0095     0.0000  0.0169
      1   0.0064  0.0111     0.0000  0.0225
      2   0.0088  0.0142     0.0000  0.0336
      3   0.0116  0.0154     0.0000  0.0388
      4   0.0139  0.0159     0.0000  0.0420
      5   0.0067  0.0057     0.0000  0.0137
      6   0.0078  0.0055     0.0000  0.0144
      7   0.0086  0.0059     0.0000  0.0168
      8   0.0092  0.0056     0.0001  0.0173
      9   0.0097  0.0058     0.0001  0.0181
     10   0.0086  0.0053     0.0001  0.0154
     11   0.0090  0.0050     0.0001  0.0158
     12   0.0080  0.0043     0.0001  0.0132
     13   0.0083  0.0040     0.0002  0.0132
     14   0.0085  0.0042     0.0002  0.0135
     15   0.0073  0.0030     0.0001  0.0108
     16   0.0065  0.0025     0.0000  0.0068
     17   0.0068  0.0021     0.0001  0.0068
     18   0.0070  0.0021     0.0001  0.0069
     19   0.0067  0.0020     0.0001  0.0068

