Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.7516  2.9852    -8.8792 -0.1148
      1  -3.2038  2.9906    -8.7402 -0.0811
      2  -2.5570  2.8724    -8.4778 -0.0613
      3  -4.5629  2.6905    -8.9457 -0.4546
      4  -4.5712  2.6669    -8.9194 -0.4468
      5  -4.5855  2.6319    -8.8788 -0.4395
      6  -4.6015  2.5899    -8.8233 -0.4317
      7  -4.6193  2.5470    -8.7606 -0.4276
      8  -5.5333  2.1431    -8.8970 -1.3304
      9  -5.6682  2.0110    -8.8816 -1.8237
     10  -4.6973  1.8157    -7.8998 -1.1665
     11  -4.7107  1.7089    -7.6472 -1.3822
     12  -5.4229  1.4560    -8.0856 -3.2920
     13  -4.9463  1.2560    -6.9678 -3.0627
     14  -5.3332  1.1675    -7.2935 -3.8170
     15  -5.3620  1.0464    -7.1549 -4.0497
     16  -5.0784  0.9100    -6.4925 -3.9178
     17  -4.8010  0.8847    -6.0716 -3.6563
     18  -5.0121  0.7781    -6.2083 -4.0788
     19  -4.8319  0.7410    -5.9329 -3.9566

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0050  0.0141     0.0000  0.0272
      1   0.0080  0.0172     0.0000  0.0394
      2   0.0116  0.0198     0.0000  0.0491
      3   0.0011  0.0025     0.0000  0.0046
      4   0.0018  0.0030     0.0000  0.0057
      5   0.0027  0.0035     0.0000  0.0062
      6   0.0039  0.0036     0.0000  0.0065
      7   0.0049  0.0034     0.0000  0.0067
      8   0.0053  0.0033     0.0000  0.0067
      9   0.0061  0.0028     0.0000  0.0068
     10   0.0060  0.0029     0.0000  0.0067
     11   0.0065  0.0024     0.0001  0.0068
     12   0.0065  0.0023     0.0001  0.0068
     13   0.0066  0.0023     0.0001  0.0068
     14   0.0066  0.0023     0.0001  0.0068
     15   0.0069  0.0019     0.0001  0.0069
     16   0.0070  0.0020     0.0002  0.0069
     17   0.0070  0.0019     0.0002  0.0069
     18   0.0071  0.0020     0.0002  0.0070
     19   0.0071  0.0020     0.0002  0.0070

