Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.7001  1.4047    -3.5655 -0.1766
      1  -2.4796  1.1617    -4.4202 -1.6107
      2  -1.9806  0.9362    -2.6968 -1.4621
      3  -2.3070  1.0370    -3.7201 -1.8697
      4  -2.1765  0.7703    -2.5408 -1.8759
      5  -2.1178  0.5730    -2.3697 -1.8839
      6  -2.4523  1.3535    -6.0459 -1.6794
      7  -2.3390  1.0563    -3.8414 -1.9239
      8  -2.7149  1.5283    -6.9968 -1.8543
      9  -2.5142  1.1759    -5.0523 -1.9383
     10  -2.3768  0.8993    -3.0627 -1.9848
     11  -2.4701  0.9084    -3.2465 -2.1216
     12  -2.3893  0.6778    -2.8287 -2.1282
     13  -2.3397  0.8571    -2.8698 -1.9737
     14  -2.4282  0.8912    -3.0455 -2.1135
     15  -2.3556  0.6665    -2.7825 -2.1188
     16  -2.3049  0.7980    -2.7820 -1.9630
     17  -2.2683  0.6094    -2.6384 -2.0703
     18  -2.2119  0.5516    -2.6163 -2.0225
     19  -2.1738  0.4397    -2.5895 -2.0280

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0971  0.0609     0.0004  0.1893
      1   0.0957  0.0613     0.0004  0.1891
      2   0.0984  0.0608     0.0002  0.1896
      3   0.0927  0.0621     0.0001  0.1887
      4   0.1044  0.0593     0.0026  0.1904
      5   0.1113  0.0565     0.0109  0.1913
      6   0.0500  0.0430     0.0000  0.1311
      7   0.0569  0.0424     0.0001  0.1360
      8   0.0295  0.0263     0.0000  0.0760
      9   0.0325  0.0258     0.0000  0.0781
     10   0.0364  0.0255     0.0001  0.0809
     11   0.0365  0.0265     0.0001  0.0834
     12   0.0392  0.0260     0.0018  0.0854
     13   0.0296  0.0191     0.0001  0.0616
     14   0.0283  0.0184     0.0001  0.0591
     15   0.0301  0.0179     0.0016  0.0601
     16   0.0257  0.0157     0.0002  0.0515
     17   0.0273  0.0154     0.0021  0.0526
     18   0.0290  0.0160     0.0028  0.0551
     19   0.0311  0.0162     0.0046  0.0577

