trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1015 570.00  0.00 800.00  8.60  1
  1  701 390.00  0.00 800.00 520.00  0
  2  698 390.00  0.00 800.00 104.00  0
  3  661 370.00  0.00 800.00 52.00  0
  4  732 410.00  0.00 800.00 26.00  0
  5  766 430.00  0.00 800.00 17.20  0
  6  711 400.00  0.00 800.00 12.90  0
  7  654 370.00  0.00 800.00  6.44  1
  8 1420 790.00  0.00 800.00 260.00  0
  9  691 390.00  0.00 800.00  8.60  1
 10  620 350.00  0.00 800.00 10.80  1
 11  676 380.00  0.00 800.00 17.20  0
 12  620 340.00  0.00 800.00  8.60  0
 13 1421 790.00  0.00 800.00 520.00  0
 14  546 310.00  0.00 800.00  6.44  1
 15  475 270.00  0.00 800.00  8.60  1
 16  511 290.00  0.00 800.00  8.60  1
 17  873 490.00  0.00 800.00 12.90  0
 18  837 470.00  0.00 800.00 12.90  0
 19  601 340.00  0.00 800.00  8.60  1
