Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6133  2.7295    -9.0004 -0.4864
      1  -2.3013  1.4586    -4.5798 -0.2504
      2  -3.4483  0.8671    -4.6916 -2.4304
      3  -2.7957  0.6260    -3.5059 -2.3050
      4  -3.0926  0.5447    -3.6600 -2.8157
      5  -3.2398  0.5239    -3.8309 -3.0058
      6  -3.1638  0.3696    -3.4267 -2.9950
      7  -3.2015  0.3665    -3.5549 -3.1716
      8  -3.4901  0.8780    -4.8018 -3.1131
      9  -3.6174  0.8909    -5.0801 -3.1878
     10  -3.4824  0.6642    -4.1708 -3.1929
     11  -3.5096  0.5740    -4.1517 -3.2646
     12  -3.4530  0.4313    -3.8831 -3.2668
     13  -3.4538  0.3369    -3.8616 -3.3426
     14  -3.4537  0.2648    -3.8444 -3.4286
     15  -3.4336  0.1955    -3.6894 -3.4281
     16  -3.5154  0.4016    -3.9571 -3.4336
     17  -3.4791  0.3106    -3.9046 -3.4333
     18  -3.4544  0.2432    -3.8415 -3.4327
     19  -3.4406  0.1868    -3.7608 -3.4326

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1019  0.0587     0.0070  0.1898
      1   0.1020  0.0586     0.0071  0.1899
      2   0.1015  0.0588     0.0065  0.1898
      3   0.1007  0.0589     0.0061  0.1896
      4   0.1016  0.0590     0.0062  0.1899
      5   0.1000  0.0588     0.0062  0.1894
      6   0.1121  0.0557     0.0141  0.1913
      7   0.1158  0.0557     0.0141  0.1921
      8   0.0391  0.0319     0.0001  0.0979
      9   0.0348  0.0290     0.0001  0.0883
     10   0.0410  0.0295     0.0007  0.0942
     11   0.0449  0.0311     0.0020  0.1009
     12   0.0499  0.0309     0.0056  0.1049
     13   0.0531  0.0309     0.0082  0.1079
     14   0.0557  0.0308     0.0104  0.1100
     15   0.0594  0.0304     0.0147  0.1131
     16   0.0347  0.0189     0.0046  0.0663
     17   0.0376  0.0188     0.0077  0.0684
     18   0.0402  0.0188     0.0097  0.0711
     19   0.0422  0.0186     0.0121  0.0728

