trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1154 650.00  0.00 800.00  1.00  1
  1  754 420.00  0.00 800.00 260.00  0
  2  822 460.00  0.00 800.00 26.00  0
  3  693 390.00  0.00 800.00 12.90  1
  4  695 390.00  0.00 800.00 21.50  1
  5  732 410.00  0.00 800.00 26.00  0
  6  695 410.00  0.00 800.00 17.20  1
  7  732 430.00  0.00 800.00 52.00  0
  8  732 420.00  0.00 800.00 52.00  0
  9  732 400.00  0.00 800.00 52.00  0
 10  732 420.00  0.00 800.00 21.50  1
 11  732 430.00  0.00 800.00 52.00  0
 12  732 420.00  0.00 800.00 52.00  0
 13  732 400.00  0.00 800.00 52.00  0
 14  732 400.00  0.00 800.00 52.00  0
 15  732 390.00  0.00 800.00 21.50  1
 16  732 410.00  0.00 800.00 52.00  0
 17  732 410.00  0.00 800.00 52.00  0
 18  732 420.00  0.00 800.00 52.00  0
 19  732 400.00  0.00 800.00 21.50  0
