  0 1154 650.00  0.00 800.00  1.00  1
  1  754 420.00  0.00 800.00 260.00  0
  2  822 460.00  0.00 800.00 26.00  0
  3  693 390.00  0.00 800.00 12.90  1
  4  695 390.00  0.00 800.00 21.50  1
  5  732 410.00  0.00 800.00 26.00  0
  6  695 380.00  0.00 800.00 17.20  1
  7  732 420.00  0.00 800.00 52.00  0
  8  695 410.00  0.00 800.00 17.20  1
  9  732 410.00  0.00 800.00 52.00  0
 10  732 400.00  0.00 800.00 52.00  0
 11  732 400.00  0.00 800.00 21.50  0
 12  695 390.00  0.00 800.00 21.50  1
 13  695 380.00  0.00 800.00 17.20  1
 14  695 370.00  0.00 800.00 26.00  1
 15  750 420.00  0.00 800.00 26.00  1
 16  750 410.00  0.00 800.00 52.00  0
 17  750 420.00  0.00 800.00 21.50  1
 18  750 400.00  0.00 800.00 21.50  1
 19  732 410.00  0.00 800.00 26.00  0
