trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  222 130.00  0.00 800.00  6.44  1
  1  698 390.00  0.00 800.00 104.00  0
  2  693 390.00  0.00 800.00 12.90  1
  3  822 460.00  0.00 800.00 26.00  0
  4  695 390.00  0.00 800.00 21.50  0
  5  783 440.00  0.00 800.00 12.90  0
  6  746 420.00  0.00 800.00 10.80  0
  7  780 440.00  0.00 800.00  6.44  1
  8  693 390.00  0.00 800.00 12.90  1
  9  675 380.00  0.00 800.00 12.90  1
 10  675 360.00  0.00 800.00 17.20  0
 11  675 390.00  0.00 800.00 17.20  0
 12  675 370.00  0.00 800.00 10.80  0
 13  565 320.00  0.00 800.00  8.60  1
 14  601 340.00  0.00 800.00  8.60  1
 15  637 360.00  0.00 800.00  8.60  1
 16  729 410.00  0.00 800.00 12.90  0
 17  729 410.00  0.00 800.00 17.20  0
 18  729 400.00  0.00 800.00 10.80  1
 19  711 400.00  0.00 800.00 12.90  1
