trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1141 640.00  0.00 800.00  8.60  1
  1  791 440.00  0.00 800.00 520.00  0
  2  753 420.00  0.00 800.00 156.00  0
  3  608 340.00  0.00 800.00 104.00  1
  4  716 400.00  0.00 800.00 104.00  1
  5  663 370.00  0.00 800.00 156.00  1
  6  753 420.00  0.00 800.00 156.00  1
  7  753 400.00  0.00 800.00 104.00  1
  8  753 410.00  0.00 800.00 104.00  1
  9  753 430.00  0.00 800.00 260.00  0
 10  753 410.00  0.00 800.00 260.00  0
 11  753 400.00  0.00 800.00 260.00  0
 12  753 430.00  0.00 800.00 260.00  0
 13  753 400.00  0.00 800.00 260.00  0
 14  753 420.00  0.00 800.00 260.00  0
 15  753 440.00  0.00 800.00 260.00  0
 16  753 430.00  0.00 800.00 104.00  1
 17  753 400.00  0.00 800.00 104.00  1
 18  753 420.00  0.00 800.00 260.00  0
 19  753 420.00  0.00 800.00 260.00  0
