Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.2524  2.3672    -9.0650 -1.6977
      1  -3.3342  1.3105    -5.3990 -1.4988
      2  -2.3002  0.8265    -3.4006 -1.3852
      3  -2.8243  0.6144    -3.5385 -2.3836
      4  -2.5393  0.5502    -3.0521 -2.2230
      5  -2.3881  0.5346    -2.8149 -2.1234
      6  -2.4164  0.4004    -2.8078 -2.3776
      7  -2.6424  0.7539    -3.2453 -2.3789
      8  -2.5365  0.7968    -3.0853 -2.2319
      9  -2.7463  1.0358    -4.3566 -2.2567
     10  -2.7842  0.9469    -3.9089 -2.3969
     11  -2.6934  0.7152    -3.1466 -2.4086
     12  -2.6925  0.5820    -3.1093 -2.4709
     13  -2.6532  0.4362    -2.9526 -2.4761
     14  -2.6475  0.3301    -2.9101 -2.5237
     15  -2.6528  0.2595    -2.9013 -2.6413
     16  -2.6404  0.1941    -2.8947 -2.6411
     17  -2.6161  0.4077    -2.8980 -2.4271
     18  -2.5631  0.5236    -2.8948 -2.3933
     19  -2.5026  0.5252    -2.8819 -2.3850

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0588     0.0067  0.1898
      1   0.1018  0.0587     0.0069  0.1898
      2   0.1019  0.0586     0.0072  0.1898
      3   0.1018  0.0587     0.0070  0.1898
      4   0.1027  0.0586     0.0074  0.1900
      5   0.1021  0.0588     0.0072  0.1900
      6   0.1127  0.0556     0.0149  0.1914
      7   0.0578  0.0416     0.0007  0.1362
      8   0.0550  0.0395     0.0001  0.1284
      9   0.0365  0.0282     0.0001  0.0865
     10   0.0397  0.0298     0.0001  0.0928
     11   0.0436  0.0293     0.0009  0.0954
     12   0.0481  0.0300     0.0036  0.1008
     13   0.0515  0.0295     0.0080  0.1030
     14   0.0540  0.0291     0.0108  0.1049
     15   0.0574  0.0294     0.0138  0.1086
     16   0.0603  0.0290     0.0167  0.1107
     17   0.0386  0.0189     0.0079  0.0692
     18   0.0339  0.0176     0.0047  0.0623
     19   0.0352  0.0190     0.0047  0.0670

