Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.5364  1.6747    -9.1962 -4.1628
      1  -5.1428  0.9446    -6.5261 -4.0154
      2  -4.4923  0.6797    -5.2931 -3.9396
      3  -4.2049  0.5823    -4.7781 -3.7719
      4  -4.3604  0.4594    -4.8551 -4.1948
      5  -4.2186  0.4439    -4.6431 -4.0501
      6  -4.2403  0.3284    -4.6340 -4.2222
      7  -4.2181  0.2430    -4.4735 -4.2224
      8  -4.2162  0.1794    -4.4723 -4.2230
      9  -4.2186  0.1308    -4.4720 -4.2250
     10  -4.2854  0.3349    -4.7080 -4.2254
     11  -4.2861  0.2570    -4.7046 -4.2283
     12  -4.2868  0.2051    -4.7027 -4.2303
     13  -4.2869  0.1718    -4.7014 -4.2314
     14  -4.2868  0.1516    -4.7005 -4.2320
     15  -4.2796  0.1328    -4.6918 -4.2317
     16  -4.2756  0.1222    -4.6868 -4.2315
     17  -4.2307  0.0761    -4.5267 -4.2284
     18  -4.3639  0.2875    -4.7353 -4.2325
     19  -4.3657  0.2340    -4.7340 -4.2359

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1014  0.0591     0.0051  0.1898
      1   0.1010  0.0594     0.0043  0.1898
      2   0.1010  0.0595     0.0040  0.1899
      3   0.1025  0.0594     0.0048  0.1902
      4   0.1075  0.0573     0.0095  0.1907
      5   0.1088  0.0573     0.0092  0.1910
      6   0.1170  0.0542     0.0190  0.1920
      7   0.1243  0.0510     0.0294  0.1929
      8   0.1254  0.0500     0.0329  0.1929
      9   0.1268  0.0489     0.0371  0.1930
     10   0.0702  0.0402     0.0122  0.1448
     11   0.0716  0.0396     0.0152  0.1456
     12   0.0730  0.0392     0.0173  0.1464
     13   0.0739  0.0389     0.0190  0.1469
     14   0.0745  0.0387     0.0203  0.1473
     15   0.0762  0.0383     0.0223  0.1484
     16   0.0773  0.0380     0.0238  0.1490
     17   0.0836  0.0393     0.0268  0.1568
     18   0.0301  0.0136     0.0076  0.0517
     19   0.0307  0.0134     0.0083  0.0521

