Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6257  2.7237    -9.0018 -0.5032
      1  -2.4499  1.5218    -4.8466 -0.2763
      2  -3.5953  0.9065    -4.9541 -2.4594
      3  -4.2516  0.6194    -5.0602 -3.7053
      4  -4.6626  0.5754    -5.2975 -4.3162
      5  -4.8415  0.6037    -5.6529 -4.5697
      6  -5.2713  1.0258    -7.7630 -4.7267
      7  -4.9766  0.5850    -5.7128 -4.7282
      8  -4.8091  0.6113    -5.4548 -4.5131
      9  -4.7399  0.5161    -5.2266 -4.5052
     10  -4.7158  0.4104    -5.0979 -4.5192
     11  -4.7412  0.3089    -5.0863 -4.6822
     12  -4.7392  0.2323    -5.0453 -4.7060
     13  -4.7377  0.1793    -5.0042 -4.7260
     14  -4.6585  0.3594    -5.0009 -4.4342
     15  -4.5264  0.4990    -4.9923 -4.1102
     16  -4.5677  0.3916    -4.9917 -4.2977
     17  -4.4982  0.3917    -4.9690 -4.2361
     18  -4.5243  0.3086    -4.9695 -4.3263
     19  -4.4905  0.2719    -4.9372 -4.3043

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0586     0.0071  0.1899
      1   0.1024  0.0584     0.0077  0.1899
      2   0.1019  0.0586     0.0072  0.1898
      3   0.1017  0.0586     0.0070  0.1898
      4   0.0987  0.0594     0.0049  0.1893
      5   0.0968  0.0596     0.0042  0.1888
      6   0.0460  0.0425     0.0004  0.1320
      7   0.0575  0.0434     0.0021  0.1424
      8   0.0492  0.0372     0.0009  0.1195
      9   0.0563  0.0396     0.0024  0.1301
     10   0.0624  0.0401     0.0054  0.1361
     11   0.0682  0.0395     0.0099  0.1404
     12   0.0695  0.0390     0.0127  0.1410
     13   0.0708  0.0385     0.0150  0.1417
     14   0.0384  0.0226     0.0049  0.0774
     15   0.0260  0.0154     0.0016  0.0514
     16   0.0283  0.0153     0.0033  0.0533
     17   0.0274  0.0151     0.0029  0.0521
     18   0.0293  0.0149     0.0051  0.0536
     19   0.0307  0.0155     0.0061  0.0559

