Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.0211  2.4993    -9.0417 -1.2534
      1  -2.9745  1.3755    -5.1304 -1.0374
      2  -1.9242  0.8725    -3.1159 -0.9017
      3  -1.3940  0.6781    -2.1033 -0.8351
      4  -1.6356  0.5546    -2.1860 -1.3301
      5  -1.3885  0.6097    -1.8194 -1.1369
      6  -1.3592  1.1613    -2.7423 -0.7225
      7  -1.2253  1.0819    -1.9851 -0.6179
      8  -1.3106  1.6737    -5.9371 -0.2753
      9  -1.0730  1.2779    -3.0748 -0.2699
     10  -1.0526  1.0547    -1.8008 -0.4167
     11  -1.0365  0.8522    -1.5822 -0.5791
     12  -1.0274  0.6813    -1.5505 -0.6900
     13  -0.9409  0.7204    -1.4314 -0.5963
     14  -0.8698  0.6331    -1.3012 -0.5734
     15  -0.8690  0.5021    -1.2959 -0.6417
     16  -0.8297  0.4034    -1.2542 -0.6326
     17  -0.8367  0.3204    -1.2555 -0.7240
     18  -0.8118  0.2572    -1.1912 -0.7096
     19  -0.7732  0.3934    -1.0929 -0.5727

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1023  0.0585     0.0074  0.1899
      1   0.1024  0.0585     0.0075  0.1899
      2   0.1032  0.0584     0.0081  0.1901
      3   0.1041  0.0581     0.0090  0.1903
      4   0.1051  0.0574     0.0106  0.1903
      5   0.1019  0.0584     0.0079  0.1898
      6   0.0459  0.0383     0.0001  0.1197
      7   0.0491  0.0403     0.0001  0.1275
      8   0.0192  0.0167     0.0000  0.0483
      9   0.0206  0.0165     0.0001  0.0496
     10   0.0238  0.0173     0.0001  0.0537
     11   0.0267  0.0177     0.0010  0.0569
     12   0.0292  0.0180     0.0022  0.0598
     13   0.0279  0.0172     0.0018  0.0567
     14   0.0299  0.0180     0.0026  0.0604
     15   0.0324  0.0182     0.0044  0.0627
     16   0.0347  0.0186     0.0064  0.0660
     17   0.0370  0.0187     0.0081  0.0681
     18   0.0393  0.0190     0.0094  0.0711
     19   0.0298  0.0145     0.0056  0.0531

