Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.3759  1.7480    -5.7032 -0.2413
      1  -3.6353  1.4140    -7.2160 -2.4096
      2  -4.3946  1.4482    -8.1646 -3.4323
      3  -5.0427  1.5844    -8.7082 -3.9443
      4  -4.1414  0.5927    -4.8301 -3.8400
      5  -4.3567  0.6374    -5.1376 -4.0575
      6  -4.2183  0.4542    -4.6263 -4.0260
      7  -4.2409  0.3545    -4.6116 -4.2197
      8  -4.2173  0.2493    -4.4723 -4.2201
      9  -4.2166  0.1849    -4.4717 -4.2211
     10  -4.2162  0.1411    -4.4713 -4.2217
     11  -4.2160  0.1119    -4.4710 -4.2222
     12  -4.2141  0.0861    -4.4700 -4.2222
     13  -4.1596  0.8983    -5.2528 -3.6144
     14  -4.1354  0.6924    -4.9309 -3.7191
     15  -4.0942  0.5422    -4.7160 -3.7362
     16  -4.2833  0.8617    -5.2691 -3.7123
     17  -4.2656  0.6707    -5.0634 -3.7853
     18  -4.2293  0.5365    -4.9203 -3.8120
     19  -4.2447  0.4429    -4.9023 -3.9163

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0966  0.0605     0.0026  0.1892
      1   0.0926  0.0613     0.0019  0.1885
      2   0.0861  0.0619     0.0016  0.1873
      3   0.0729  0.0607     0.0013  0.1836
      4   0.1013  0.0592     0.0050  0.1898
      5   0.0918  0.0586     0.0033  0.1869
      6   0.1061  0.0576     0.0087  0.1905
      7   0.1150  0.0552     0.0159  0.1918
      8   0.1224  0.0516     0.0273  0.1926
      9   0.1233  0.0508     0.0301  0.1926
     10   0.1239  0.0503     0.0319  0.1927
     11   0.1244  0.0499     0.0334  0.1927
     12   0.1250  0.0493     0.0354  0.1928
     13   0.0179  0.0116     0.0001  0.0354
     14   0.0187  0.0112     0.0001  0.0359
     15   0.0201  0.0110     0.0011  0.0372
     16   0.0133  0.0080     0.0001  0.0249
     17   0.0138  0.0077     0.0002  0.0252
     18   0.0147  0.0076     0.0007  0.0258
     19   0.0155  0.0076     0.0011  0.0264

