trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1302 730.00  0.00 800.00  6.44  0
  1  656 370.00  0.00 800.00 10.80  1
  2  732 410.00  0.00 800.00 26.00  1
  3  679 380.00  0.00 800.00 52.00  1
  4  573 320.00  0.00 800.00 156.00  0
  5  769 430.00  0.00 800.00 52.00  1
  6  608 340.00  0.00 800.00 104.00  0
  7  751 420.00  0.00 800.00 52.00  1
  8  626 350.00  0.00 800.00 104.00  0
  9  751 420.00  0.00 800.00 26.00  1
 10  751 420.00  0.00 800.00 26.00  1
 11  751 430.00  0.00 800.00 26.00  1
 12  751 430.00  0.00 800.00 104.00  0
 13  751 430.00  0.00 800.00 26.00  0
 14    4  10.00  0.00 800.00  3.00  1
 15  824 460.00  0.00 800.00 104.00  0
 16  949 530.00  0.00 800.00 52.00  1
 17    2  10.00  0.00 800.00  1.00  1
 18  932 520.00  0.00 800.00 104.00  0
 19  499 280.00  0.00 800.00 52.00  1
