  0 1302 730.00  0.00 800.00  6.44  1
  1  881 490.00  0.00 800.00 520.00  0
  2  664 370.00  0.00 800.00 260.00  0
  3  788 440.00  0.00 800.00 104.00  0
  4  698 390.00  0.00 800.00 104.00  0
  5  608 340.00  0.00 800.00 104.00  0
  6  751 420.00  0.00 800.00 52.00  1
  7  751 420.00  0.00 800.00 26.00  1
  8  626 350.00  0.00 800.00 104.00  0
  9  751 440.00  0.00 800.00 104.00  0
 10  751 410.00  0.00 800.00 26.00  1
 11  751 420.00  0.00 800.00 104.00  0
 12  751 430.00  0.00 800.00 26.00  1
 13  751 400.00  0.00 800.00 26.00  1
 14  751 410.00  0.00 800.00 26.00  1
 15  751 430.00  0.00 800.00 104.00  0
 16  751 440.00  0.00 800.00 26.00  1
 17  751 430.00  0.00 800.00 104.00  0
 18  751 410.00  0.00 800.00 26.00  1
 19  751 400.00  0.00 800.00 26.00  1
