Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.4731  2.0942    -6.8328 -0.3680
      1  -1.8053  1.2341    -3.6083 -0.1972
      2  -2.6960  0.8142    -3.6844 -1.8835
      3  -3.2334  0.6819    -3.9504 -2.7756
      4  -3.0329  0.5328    -3.4946 -2.6983
      5  -3.1958  0.5118    -3.6280 -2.9708
      6  -3.2040  0.4032    -3.6066 -3.0945
      7  -3.4746  0.8102    -4.8050 -3.1686
      8  -3.3179  0.7921    -4.2111 -3.0151
      9  -3.6488  1.2104    -6.5281 -2.8611
     10  -3.4853  0.9207    -4.8060 -2.9947
     11  -3.9500  1.5311    -7.7213 -1.9170
     12  -3.8474  1.2428    -6.6914 -2.7576
     13  -3.7811  1.0097    -5.6276 -3.0042
     14  -3.6368  0.8013    -4.7344 -3.0402
     15  -3.5487  0.6438    -4.3712 -3.0591
     16  -3.8111  0.9579    -5.1993 -3.0271
     17  -3.7729  0.7678    -4.8323 -3.1442
     18  -3.6935  0.6369    -4.5541 -3.1499
     19  -3.6601  0.5263    -4.4399 -3.1681

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1010  0.0591     0.0057  0.1898
      1   0.1011  0.0590     0.0058  0.1898
      2   0.1006  0.0592     0.0053  0.1897
      3   0.0987  0.0598     0.0040  0.1894
      4   0.1030  0.0584     0.0070  0.1900
      5   0.1047  0.0582     0.0069  0.1903
      6   0.1113  0.0559     0.0135  0.1912
      7   0.0523  0.0399     0.0005  0.1276
      8   0.0554  0.0422     0.0001  0.1357
      9   0.0238  0.0210     0.0000  0.0610
     10   0.0276  0.0210     0.0001  0.0642
     11   0.0100  0.0092     0.0000  0.0246
     12   0.0114  0.0089     0.0000  0.0255
     13   0.0124  0.0087     0.0001  0.0260
     14   0.0139  0.0089     0.0001  0.0274
     15   0.0153  0.0091     0.0004  0.0291
     16   0.0099  0.0058     0.0001  0.0181
     17   0.0103  0.0056     0.0001  0.0183
     18   0.0111  0.0057     0.0004  0.0191
     19   0.0115  0.0057     0.0006  0.0193

