Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.4462  1.3756    -6.0822 -5.5884
      1  -6.5318  1.0453    -7.6819 -5.1017
      2  -6.0607  0.9273    -6.9149 -4.7187
      3  -5.6586  0.9433    -6.5135 -4.1510
      4  -5.3565  0.9682    -6.2567 -3.7377
      5  -5.0036  1.0174    -6.0038 -3.2497
      6  -4.5000  1.1359    -5.7532 -2.4645
      7  -3.8601  1.3848    -5.8710 -1.3901
      8  -3.2387  1.7010    -6.9045 -0.6720
      9  -3.1065  1.4892    -5.4282 -0.7117
     10  -3.4652  1.2025    -5.2253 -1.6982
     11  -4.2588  2.6289    -8.8664 -0.4551
     12  -4.1610  2.5668    -8.8107 -0.4656
     13  -4.0228  2.4643    -8.7150 -0.4869
     14  -3.8457  2.3039    -8.5399 -0.5267
     15  -3.6469  2.0823    -8.2093 -0.5909
     16  -3.4606  1.8247    -7.5834 -0.6780
     17  -3.3152  1.5772    -6.4473 -0.7740
     18  -3.2180  1.3782    -5.2344 -0.8586
     19  -3.1682  1.2434    -4.9283 -0.9342

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0602     0.0002  0.1902
      1   0.0978  0.0617     0.0001  0.1897
      2   0.0928  0.0622     0.0001  0.1889
      3   0.0761  0.0601     0.0001  0.1830
      4   0.0571  0.0517     0.0001  0.1636
      5   0.0360  0.0357     0.0001  0.1087
      6   0.0179  0.0157     0.0001  0.0457
      7   0.0094  0.0068     0.0000  0.0194
      8   0.0063  0.0041     0.0000  0.0110
      9   0.0071  0.0037     0.0000  0.0114
     10   0.0076  0.0039     0.0001  0.0124
     11   0.0006  0.0018     0.0000  0.0020
     12   0.0010  0.0023     0.0000  0.0043
     13   0.0016  0.0029     0.0000  0.0054
     14   0.0025  0.0033     0.0000  0.0060
     15   0.0036  0.0035     0.0000  0.0063
     16   0.0047  0.0033     0.0000  0.0065
     17   0.0056  0.0028     0.0000  0.0066
     18   0.0062  0.0022     0.0000  0.0066
     19   0.0066  0.0017     0.0001  0.0066

