Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2573  2.2918    -7.4434 -0.0468
      1  -1.1398  2.3494    -7.4691 -0.0296
      2  -0.7118  1.9454    -6.2964 -0.0262
      3  -3.7341  2.9918    -8.8778 -0.1314
      4  -3.1618  3.0088    -8.7513 -0.0921
      5  -2.4585  2.8897    -8.5108 -0.0683
      6  -1.7564  2.5848    -8.0365 -0.0551
      7  -1.1850  2.1495    -7.1027 -0.0479
      8  -0.7988  1.6917    -5.2861 -0.0443
      9  -1.8404  2.3749    -7.8269 -0.1035
     10  -1.3692  1.9629    -6.7109 -0.0919
     11  -1.0591  1.5635    -4.7060 -0.0856
     12  -0.8758  1.2359    -2.8362 -0.0824
     13  -1.4289  1.5524    -4.8772 -0.1782
     14  -1.2651  1.2745    -3.5302 -0.1727
     15  -1.8754  1.4899    -4.9294 -0.4052
     16  -1.5292  1.2990    -3.7217 -0.3287
     17  -1.4225  1.0775    -3.0811 -0.3268
     18  -1.7987  1.1327    -3.6476 -0.6234
     19  -1.5480  1.0049    -2.9135 -0.5380

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0772  0.0671     0.0000  0.1867
      1   0.0814  0.0675     0.0000  0.1875
      2   0.0986  0.0646     0.0000  0.1902
      3   0.0038  0.0099     0.0000  0.0213
      4   0.0062  0.0121     0.0000  0.0289
      5   0.0092  0.0138     0.0000  0.0346
      6   0.0123  0.0148     0.0000  0.0391
      7   0.0148  0.0151     0.0000  0.0414
      8   0.0166  0.0150     0.0000  0.0432
      9   0.0061  0.0053     0.0000  0.0128
     10   0.0072  0.0050     0.0000  0.0133
     11   0.0079  0.0047     0.0000  0.0135
     12   0.0084  0.0045     0.0001  0.0136
     13   0.0067  0.0029     0.0000  0.0083
     14   0.0071  0.0026     0.0001  0.0087
     15   0.0064  0.0023     0.0000  0.0067
     16   0.0066  0.0022     0.0001  0.0068
     17   0.0069  0.0018     0.0002  0.0068
     18   0.0067  0.0018     0.0001  0.0067
     19   0.0069  0.0017     0.0002  0.0068

