trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  258 150.00  0.00 800.00  6.44  1
  1  716 400.00  0.00 800.00 104.00  0
  2  693 390.00  0.00 800.00 12.90  0
  3  707 400.00  0.00 800.00  4.30  1
  4  744 420.00  0.00 800.00  6.44  0
  5  654 370.00  0.00 800.00  6.44  0
  6  689 390.00  0.00 800.00  4.30  1
  7  672 380.00  0.00 800.00  6.44  0
  8  689 380.00  0.00 800.00  3.00  1
  9  689 380.00  0.00 800.00  6.44  0
 10  707 400.00  0.00 800.00  4.30  1
 11  654 370.00  0.00 800.00  6.44  0
 12  707 400.00  0.00 800.00  3.00  1
 13  707 420.00  0.00 800.00  3.00  1
 14  707 410.00  0.00 800.00  6.44  0
 15  707 410.00  0.00 800.00  3.00  1
 16  475 270.00  0.00 800.00  8.60  0
 17  707 420.00  0.00 800.00  6.44  0
 18  707 420.00  0.00 800.00  6.44  0
 19  707 420.00  0.00 800.00  6.44  0
