trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1189 670.00  0.00 800.00  0.71  1
  1  664 370.00  0.00 800.00 260.00  1
  2 1043 580.00  0.00 800.00 520.00  0
  3  701 390.00  0.00 800.00 520.00  0
  4  844 470.00  0.00 800.00 260.00  0
  5  754 420.00  0.00 800.00 260.00  0
  6  825 460.00  0.00 800.00 156.00  0
  7  752 420.00  0.00 800.00 104.00  0
  8  786 440.00  0.00 800.00 26.00  0
  9  729 410.00  0.00 800.00 12.90  0
 10  708 400.00  0.00 800.00  6.44  0
 11 1421 790.00  0.00 800.00 520.00  0
 12  689 390.00  0.00 800.00  4.30  0
 13  742 420.00  0.00 800.00  3.00  1
 14 1420 790.00  0.00 800.00 260.00  0
 15  688 390.00  0.00 800.00  3.00  0
 16  616 350.00  0.00 800.00  3.00  0
 17 1420 790.00  0.00 800.00 260.00  0
 18  723 410.00  0.00 800.00  2.00  1
 19  688 390.00  0.00 800.00  3.00  1
