Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7409  2.0948    -9.1145 -2.6335
      1  -3.9548  1.1256    -5.6962 -2.4532
      2  -4.7596  0.7392    -5.7710 -3.9926
      3  -4.3440  0.5479    -4.9963 -3.9557
      4  -4.0760  0.4875    -4.5956 -3.7664
      5  -3.9258  0.4840    -4.3964 -3.5851
      6  -3.9793  0.3388    -4.3971 -3.9559
      7  -3.9727  0.2581    -4.3768 -3.9569
      8  -3.9699  0.2054    -4.3665 -3.9575
      9  -3.9747  0.1554    -4.3647 -3.9599
     10  -3.9734  0.1325    -4.3592 -3.9601
     11  -3.9728  0.1192    -4.3562 -3.9603
     12  -3.9747  0.1057    -4.3560 -3.9614
     13  -3.7907  0.4621    -4.3968 -3.3923
     14  -3.8956  0.4351    -4.4446 -3.5454
     15  -3.9467  0.3703    -4.4552 -3.7045
     16  -3.9866  0.3178    -4.4640 -3.7503
     17  -4.1014  0.4170    -4.6522 -3.8365
     18  -4.2292  0.6032    -4.8482 -3.9065
     19  -4.2080  0.4726    -4.7327 -3.9535

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1016  0.0588     0.0064  0.1898
      1   0.1013  0.0589     0.0060  0.1898
      2   0.1018  0.0589     0.0062  0.1899
      3   0.1034  0.0585     0.0078  0.1902
      4   0.1033  0.0587     0.0074  0.1902
      5   0.1016  0.0592     0.0064  0.1900
      6   0.1132  0.0555     0.0151  0.1915
      7   0.1150  0.0543     0.0195  0.1917
      8   0.1160  0.0536     0.0221  0.1918
      9   0.1173  0.0526     0.0253  0.1919
     10   0.1179  0.0522     0.0267  0.1919
     11   0.1182  0.0520     0.0276  0.1919
     12   0.1189  0.0515     0.0291  0.1920
     13   0.0226  0.0124     0.0021  0.0425
     14   0.0233  0.0126     0.0024  0.0436
     15   0.0249  0.0130     0.0036  0.0460
     16   0.0263  0.0133     0.0051  0.0479
     17   0.0207  0.0098     0.0024  0.0349
     18   0.0160  0.0079     0.0004  0.0267
     19   0.0168  0.0076     0.0013  0.0270

