trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  959 540.00  0.00 800.00  4.30  1
  1  754 420.00  0.00 800.00 260.00  1
  2 1115 620.00  0.00 800.00 520.00  0
  3  791 440.00  0.00 800.00 520.00  0
  4  683 380.00  0.00 800.00 520.00  0
  5  844 470.00  0.00 800.00 260.00  0
  6  736 410.00  0.00 800.00 260.00  0
  7  753 420.00  0.00 800.00 156.00  0
  8  769 430.00  0.00 800.00 52.00  1
  9  680 380.00  0.00 800.00 104.00  0
 10  571 320.00  0.00 800.00 52.00  1
 11    1  10.00  0.00 800.00  0.71  1
 12  572 320.00  0.00 800.00 104.00  0
 13  571 320.00  0.00 800.00 52.00  1
 14  589 330.00  0.00 800.00 52.00  0
 15    0  10.00  0.00 800.00  0.43  1
 16    0  20.00  0.00 800.00  0.71  1
 17  553 310.00  0.00 800.00 52.00  1
 18  805 450.00  0.00 800.00 52.00  1
 19  824 460.00  0.00 800.00 104.00  0
