Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.5643  1.7610    -9.2053 -4.1343
      1  -5.1063  1.1930    -6.5405 -2.9464
      2  -4.3147  1.1452    -5.3626 -1.6475
      3  -3.7991  1.2551    -4.8497 -0.9501
      4  -2.7401  1.4797    -4.4597 -0.3606
      5  -1.7558  1.3239    -3.6859 -0.1902
      6  -2.4880  1.0865    -3.9755 -1.0601
      7  -2.8876  0.9394    -4.1833 -1.9025
      8  -2.6114  0.9539    -3.7156 -1.6105
      9  -2.7129  0.7801    -3.6446 -2.1145
     10  -2.5853  0.6815    -3.2676 -2.0310
     11  -2.6689  0.5822    -3.3016 -2.3022
     12  -2.6058  0.4757    -3.1205 -2.2871
     13  -2.6549  0.3992    -3.1315 -2.4150
     14  -2.6835  0.3334    -3.1372 -2.4919
     15  -2.6477  0.2672    -3.0685 -2.4793
     16  -2.6597  0.2159    -3.0714 -2.5705
     17  -2.6454  0.1697    -3.0110 -2.5670
     18  -2.6367  0.1372    -2.9358 -2.5652
     19  -2.6464  0.1125    -2.9509 -2.6429

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0986  0.0600     0.0036  0.1894
      1   0.0957  0.0608     0.0026  0.1890
      2   0.0899  0.0618     0.0016  0.1881
      3   0.0805  0.0623     0.0013  0.1862
      4   0.0330  0.0342     0.0001  0.1048
      5   0.0189  0.0143     0.0001  0.0434
      6   0.0201  0.0156     0.0001  0.0472
      7   0.0216  0.0166     0.0001  0.0506
      8   0.0210  0.0162     0.0001  0.0492
      9   0.0240  0.0172     0.0004  0.0539
     10   0.0265  0.0183     0.0010  0.0583
     11   0.0294  0.0193     0.0017  0.0626
     12   0.0322  0.0198     0.0030  0.0664
     13   0.0352  0.0206     0.0045  0.0704
     14   0.0379  0.0213     0.0064  0.0742
     15   0.0410  0.0216     0.0083  0.0776
     16   0.0434  0.0217     0.0099  0.0801
     17   0.0454  0.0215     0.0121  0.0816
     18   0.0470  0.0214     0.0142  0.0828
     19   0.0492  0.0215     0.0158  0.0854

