trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  589 330.00  0.00 800.00 52.00  0
  1  654 370.00  0.00 800.00  6.44  1
  2  693 390.00  0.00 800.00 12.90  1
  3  695 390.00  0.00 800.00 21.50  1
  4  732 410.00  0.00 800.00 26.00  0
  5  695 380.00  0.00 800.00 26.00  0
  6  695 410.00  0.00 800.00 17.20  0
  7  729 410.00  0.00 800.00 12.90  0
  8 1420 790.00  0.00 800.00 260.00  0
  9 1420 790.00  0.00 800.00 156.00  0
 10  673 380.00  0.00 800.00  8.60  1
 11  656 370.00  0.00 800.00 10.80  1
 12  694 390.00  0.00 800.00 17.20  0
 13  674 380.00  0.00 800.00 10.80  0
 14 1421 790.00  0.00 800.00 520.00  0
 15  565 320.00  0.00 800.00  8.60  1
 16  566 320.00  0.00 800.00 10.80  1
 17  802 450.00  0.00 800.00 17.20  0
 18  656 370.00  0.00 800.00 10.80  0
 19  583 330.00  0.00 800.00  8.60  1
