Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.5170  2.2268    -9.0924 -2.2024
      1  -7.4200  1.2282    -6.5475 -5.8813
      2  -6.4083  0.8026    -7.3949 -5.7715
      3  -5.9870  0.6707    -6.6622 -5.5583
      4  -5.8222  0.6162    -6.3162 -5.4139
      5  -6.0074  0.4997    -6.4519 -5.8379
      6  -6.0544  0.3763    -6.4535 -6.0587
      7  -6.0412  0.2804    -6.3116 -6.0594
      8  -6.0536  0.2010    -6.3112 -6.0657
      9  -6.0570  0.1467    -6.3109 -6.0666
     10  -6.0587  0.1098    -6.3107 -6.0672
     11  -6.0595  0.0852    -6.3105 -6.0677
     12  -6.0599  0.0693    -6.3103 -6.0680
     13  -6.0601  0.0592    -6.3102 -6.0682
     14  -6.0602  0.0529    -6.3101 -6.0684
     15  -6.0602  0.0490    -6.3100 -6.0685
     16  -6.0601  0.0466    -6.3099 -6.0686
     17  -6.0601  0.0451    -6.3099 -6.0686
     18  -6.0601  0.0436    -6.3098 -6.0687
     19  -6.0600  0.0427    -6.3097 -6.0687

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0591     0.0059  0.1898
      1   0.1013  0.0590     0.0059  0.1898
      2   0.0996  0.0598     0.0042  0.1896
      3   0.0998  0.0596     0.0041  0.1896
      4   0.1025  0.0593     0.0051  0.1901
      5   0.1061  0.0580     0.0076  0.1906
      6   0.1154  0.0554     0.0157  0.1920
      7   0.1237  0.0518     0.0265  0.1929
      8   0.1282  0.0491     0.0361  0.1933
      9   0.1290  0.0483     0.0388  0.1933
     10   0.1296  0.0477     0.0410  0.1934
     11   0.1302  0.0472     0.0428  0.1934
     12   0.1307  0.0468     0.0441  0.1934
     13   0.1311  0.0464     0.0453  0.1935
     14   0.1314  0.0462     0.0463  0.1935
     15   0.1316  0.0460     0.0470  0.1935
     16   0.1318  0.0458     0.0476  0.1935
     17   0.1319  0.0457     0.0479  0.1935
     18   0.1321  0.0455     0.0486  0.1935
     19   0.1323  0.0454     0.0489  0.1936

