Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2883  2.3431    -7.5420 -0.0450
      1  -1.4370  2.3255    -7.6066 -0.1746
      2  -2.7709  2.7855    -8.5646 -0.3106
      3  -2.0553  2.4372    -8.0147 -0.2947
      4  -1.5643  2.0353    -7.0356 -0.2876
      5  -2.5457  2.2968    -8.0329 -0.4764
      6  -2.1415  1.9623    -7.0959 -0.4730
      7  -1.8624  1.6425    -5.5923 -0.4705
      8  -2.9497  1.8590    -7.2422 -0.8365
      9  -2.7639  1.6339    -6.1336 -0.8666
     10  -2.2277  1.4050    -4.9102 -0.7399
     11  -1.8936  1.2359    -3.8123 -0.6362
     12  -2.2277  1.2110    -4.1805 -0.9963
     13  -2.1393  1.0140    -3.6744 -1.0176
     14  -2.4895  1.0273    -4.1120 -1.3867
     15  -2.2686  0.9155    -3.5446 -1.2950
     16  -2.4540  0.8629    -3.6800 -1.5849
     17  -2.5527  0.7788    -3.7330 -1.7615
     18  -2.4221  0.6742    -3.4095 -1.7044
     19  -2.3207  0.5967    -3.2017 -1.6565

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0768  0.0675     0.0000  0.1869
      1   0.0723  0.0674     0.0000  0.1862
      2   0.0170  0.0286     0.0000  0.0755
      3   0.0228  0.0313     0.0000  0.0866
      4   0.0271  0.0325     0.0000  0.0928
      5   0.0082  0.0087     0.0000  0.0220
      6   0.0098  0.0087     0.0000  0.0238
      7   0.0108  0.0086     0.0000  0.0248
      8   0.0063  0.0039     0.0000  0.0105
      9   0.0070  0.0035     0.0000  0.0109
     10   0.0074  0.0037     0.0001  0.0119
     11   0.0079  0.0038     0.0001  0.0126
     12   0.0076  0.0036     0.0001  0.0122
     13   0.0079  0.0034     0.0002  0.0123
     14   0.0076  0.0031     0.0001  0.0116
     15   0.0079  0.0033     0.0002  0.0122
     16   0.0080  0.0034     0.0002  0.0124
     17   0.0083  0.0036     0.0003  0.0128
     18   0.0087  0.0038     0.0004  0.0133
     19   0.0091  0.0040     0.0005  0.0136

